Easting,Northing,"""y""",x,"""z"""
515441.8767,6937511.77,3.75,7.5,150.0
515442.2285,6937511.415,3.78,8.0,150.0
515442.5802,6937511.06,3.81,8.5,150.0
515442.932,6937510.704,3.83,9.0,150.0
515443.2838,6937510.349,3.84,9.5,150.0
515443.6356,6937509.994,3.84,10.0,150.0
515443.9873,6937509.638,3.85,10.5,150.0
515444.3391,6937509.283,3.85,11.0,150.0
515444.6909,6937508.928,3.85,11.5,150.0
515445.0427,6937508.572,3.85,12.0,150.0
515445.3945,6937508.217,3.86,12.5,150.0
515445.7462,6937507.862,3.88,13.0,150.0
515446.098,6937507.506,3.92,13.5,150.0
515446.4498,6937507.151,3.95,14.0,150.0
515446.8016,6937506.796,3.97,14.5,150.0
515447.1533,6937506.44,3.99,15.0,150.0
515447.2413,6937506.352,4.0,15.13,150.0
515447.5051,6937506.085,4.04,15.5,150.0
515447.8569,6937505.73,4.13,16.0,150.0
515448.2087,6937505.374,4.24,16.5,150.0
515448.5605,6937505.019,4.34,17.0,150.0
515448.9122,6937504.664,4.41,17.5,150.0
515449.264,6937504.308,4.45,18.0,150.0
515449.6158,6937503.953,4.47,18.5,150.0
515449.9676,6937503.598,4.47,19.0,150.0
515450.3194,6937503.243,4.47,19.5,150.0
515450.6711,6937502.887,4.48,20.0,150.0
515451.0229,6937502.532,4.49,20.5,150.0
515451.0851,6937502.469,4.5,20.59,150.0
515451.3747,6937502.177,4.57,21.0,150.0
515451.7265,6937501.821,4.63,21.5,150.0
515452.0782,6937501.466,4.66,22.0,150.0
515452.43,6937501.111,4.66,22.5,150.0
515452.7818,6937500.755,4.64,23.0,150.0
515453.1336,6937500.4,4.59,23.5,150.0
515453.4506,6937500.08,4.5,23.95,150.0
515453.4854,6937500.045,4.49,24.0,150.0
515453.8371,6937499.689,4.43,24.5,150.0
515454.1889,6937499.334,4.4,25.0,150.0
515454.5407,6937498.979,4.38,25.5,150.0
515454.8925,6937498.623,4.38,26.0,150.0
515455.2442,6937498.268,4.38,26.5,150.0
515455.596,6937497.913,4.38,27.0,150.0
515455.9478,6937497.557,4.38,27.5,150.0
515456.2996,6937497.202,4.38,28.0,150.0
515456.6514,6937496.847,4.38,28.5,150.0
515457.0031,6937496.491,4.39,29.0,150.0
515457.3549,6937496.136,4.39,29.5,150.0
515457.7067,6937495.781,4.39,30.0,150.0
515458.0585,6937495.426,4.4,30.5,150.0
515458.4103,6937495.07,4.4,31.0,150.0
515458.762,6937494.715,4.4,31.5,150.0
515459.1138,6937494.36,4.41,32.0,150.0
515459.4656,6937494.004,4.41,32.5,150.0
515459.8174,6937493.649,4.4,33.0,150.0
515460.1691,6937493.294,4.4,33.5,150.0
515460.5209,6937492.938,4.4,34.0,150.0
515460.8727,6937492.583,4.4,34.5,150.0
515461.2245,6937492.228,4.41,35.0,150.0
515461.5763,6937491.872,4.42,35.5,150.0
515461.928,6937491.517,4.43,36.0,150.0
515462.2798,6937491.162,4.45,36.5,150.0
515462.6316,6937490.806,4.47,37.0,150.0
515462.9834,6937490.451,4.49,37.5,150.0
515463.1481,6937490.285,4.5,37.73,150.0
515463.3351,6937490.096,4.53,38.0,150.0
515463.6869,6937489.74,4.61,38.5,150.0
