column_3,column_4,column_1,column,column_2
515689.01,6937274.355,7.676829713,94.0,160.0
515689.692,6937273.623,7.679416706,95.0,160.0
515690.374,6937272.892,7.68356222,96.0,160.0
515691.0561,6937272.161,7.687294989,97.0,160.0
515691.7381,6937271.429,7.690655611,98.0,160.0
515692.4201,6937270.698,7.698889675,99.0,160.0
515693.1021,6937269.967,7.733965309,100.0,160.0
515695.1482,6937267.773,7.871797199,103.0,160.0
515695.7359,6937267.143,8.0,103.8617266,160.0
515695.8302,6937267.041,8.026697609,104.0,160.0
515696.5122,6937266.31,8.19879156,105.0,160.0
515697.1943,6937265.579,8.41309944,106.0,160.0
515697.4828,6937265.269,8.5,106.4230231,160.0
515697.8763,6937264.847,8.635928894,107.0,160.0
515698.5583,6937264.116,8.851177748,108.0,160.0
515699.0595,6937263.579,9.0,108.7348582,160.0
515699.2403,6937263.385,9.05949732,109.0,160.0
515699.9223,6937262.653,9.249531831,110.0,160.0
515700.6044,6937261.922,9.368664087,111.0,160.0
515701.2864,6937261.191,9.485632484,112.0,160.0
515701.3543,6937261.118,9.5,112.099577,160.0
515701.9684,6937260.459,9.621611257,113.0,160.0
515702.6504,6937259.728,9.752827413,114.0,160.0
515703.3324,6937258.997,9.864478119,115.0,160.0
515704.0145,6937258.265,9.971697317,116.0,160.0
515704.2017,6937258.065,10.0,116.274502,160.0
515704.6965,6937257.534,10.07156377,117.0,160.0
515706.0605,6937256.071,10.25874105,119.0,160.0
515706.7425,6937255.34,10.32532002,120.0,160.0
515708.1066,6937253.877,10.44722391,122.0,160.0
515708.696,6937253.245,10.5,122.8641976,160.0
515708.7886,6937253.146,10.50817586,123.0,160.0
515709.4706,6937252.415,10.84265398,124.0,160.0
515709.665,6937252.206,11.0,124.2849745,160.0
515687.3064,6937276.182,11.0,91.50214124,160.0
515686.9639,6937276.549,10.89506569,91.0,160.0
515686.2819,6937277.28,10.66819768,90.0,160.0
515685.8141,6937277.782,10.5,89.31400997,160.0
515685.5999,6937278.011,10.43877958,89.0,160.0
515684.9179,6937278.743,10.22429975,88.0,160.0
515684.2687,6937279.439,10.0,87.04819078,160.0
515684.2358,6937279.474,9.991896213,87.0,160.0
515683.5538,6937280.205,9.810034522,86.0,160.0
515682.8718,6937280.937,9.683209805,85.0,160.0
515682.1898,6937281.668,9.532298739,84.0,160.0
515682.0536,6937281.814,9.5,83.80030206,160.0
515681.5078,6937282.399,9.383902223,83.0,160.0
515680.8257,6937283.131,9.236931876,82.0,160.0
515680.1437,6937283.862,9.098581755,81.0,160.0
515679.5834,6937284.463,9.0,80.17845017,160.0
515679.4617,6937284.593,8.971178241,80.0,160.0
515678.7797,6937285.325,8.868629157,79.0,160.0
515678.0977,6937286.056,8.774896208,78.0,160.0
515677.4156,6937286.787,8.677078623,77.0,160.0
515676.7336,6937287.519,8.54124924,76.0,160.0
515676.6454,6937287.613,8.5,75.87069529,160.0
515676.7336,6937287.519,8.309570341,76.0,160.0
515677.0443,6937287.186,8.0,76.45557098,160.0
515677.4156,6937286.787,7.946108494,77.0,160.0
515678.7797,6937285.325,7.846366845,79.0,160.0
515679.4617,6937284.593,7.807387576,80.0,160.0
515680.1437,6937283.862,7.777257697,81.0,160.0
515680.8257,6937283.131,7.756805649,82.0,160.0
515681.5078,6937282.399,7.743075328,83.0,160.0
515682.1898,6937281.668,7.727034276,84.0,160.0
515682.8718,6937280.937,7.715379121,85.0,160.0
515683.5538,6937280.205,7.708094451,86.0,160.0
515684.2358,6937279.474,7.700649432,87.0,160.0
515684.9179,6937278.743,7.693037789,88.0,160.0
515685.5999,6937278.011,7.685252822,89.0,160.0
515686.2819,6937277.28,7.681476341,90.0,160.0
515686.9639,6937276.549,7.680259472,91.0,160.0
515687.646,6937275.817,7.679081852,92.0,160.0
515688.328,6937275.086,7.677939776,93.0,160.0
515684.4793,6937279.213,11.0,87.35692359,165.0
515684.2358,6937279.474,10.87377089,87.0,165.0
515683.6487,6937280.104,10.5,86.13910756,165.0
515683.5538,6937280.205,10.45706743,86.0,165.0
515682.8718,6937280.937,10.1795006,85.0,165.0
515682.2197,6937281.636,10.0,84.04385803,165.0
515682.1898,6937281.668,9.992539832,84.0,165.0
515681.5078,6937282.399,9.809591566,83.0,165.0
515680.8257,6937283.131,9.623926515,82.0,165.0
515680.3371,6937283.655,9.5,81.28355559,165.0
515680.1437,6937283.862,9.456278321,81.0,165.0
515679.4617,6937284.593,9.332235371,80.0,165.0
515678.7797,6937285.325,9.230760346,79.0,165.0
515677.4156,6937286.787,9.049630779,77.0,165.0
515677.1149,6937287.11,9.0,76.55900069,165.0
515676.7336,6937287.519,8.933724797,76.0,165.0
515676.0516,6937288.25,8.687102817,75.0,165.0
515675.6598,6937288.67,8.5,74.42554531,165.0
515676.0516,6937288.25,8.076049181,75.0,165.0
515676.0922,6937288.207,8.0,75.05947485,165.0
515676.7336,6937287.519,7.759280974,76.0,165.0
515677.4156,6937286.787,7.682167399,77.0,165.0
515678.7797,6937285.325,7.599438517,79.0,165.0
515679.4617,6937284.593,7.566074443,80.0,165.0
515680.1437,6937283.862,7.539210669,81.0,165.0
515680.8257,6937283.131,7.512830414,82.0,165.0
515681.1368,6937282.797,7.5,82.45613394,165.0
515681.5078,6937282.399,7.485885163,83.0,165.0
515682.1898,6937281.668,7.458722252,84.0,165.0
515682.8718,6937280.937,7.441002316,85.0,165.0
515685.5999,6937278.011,7.396642656,89.0,165.0
515686.2819,6937277.28,7.389823547,90.0,165.0
515689.01,6937274.355,7.372986858,94.0,165.0
515689.692,6937273.623,7.373490147,95.0,165.0
515692.4201,6937270.698,7.38542427,99.0,165.0
515693.1021,6937269.967,7.407728478,100.0,165.0
515694.4662,6937268.504,7.469725505,102.0,165.0
515695.1329,6937267.789,7.5,102.9775631,165.0
515695.1482,6937267.773,7.500724018,103.0,165.0
515695.8302,6937267.041,7.602129553,104.0,165.0
515696.5122,6937266.31,7.718855501,105.0,165.0
515697.1943,6937265.579,7.855976254,106.0,165.0
515697.8422,6937264.884,8.0,106.950098,165.0
515697.8763,6937264.847,8.008831769,107.0,165.0
515698.5583,6937264.116,8.167841169,108.0,165.0
515699.2403,6937263.385,8.320215693,109.0,165.0
515699.9215,6937262.654,8.5,109.9988267,165.0
515699.9223,6937262.653,8.500220948,110.0,165.0
515700.6044,6937261.922,8.628897503,111.0,165.0
515701.2864,6937261.191,8.74267251,112.0,165.0
515701.9684,6937260.459,8.9115517,113.0,165.0
515702.3065,6937260.097,9.0,113.4957502,165.0
515702.6504,6937259.728,9.083459532,114.0,165.0
515703.3324,6937258.997,9.232059427,115.0,165.0
515704.0145,6937258.265,9.372574486,116.0,165.0
515704.6965,6937257.534,9.498384046,117.0,165.0
515704.7059,6937257.524,9.5,117.0137856,165.0
515705.3785,6937256.803,9.611637994,118.0,165.0
515706.0605,6937256.071,9.724891943,119.0,165.0
515706.7425,6937255.34,9.800842509,120.0,165.0
515708.1066,6937253.877,9.937200566,122.0,165.0
515708.7341,6937253.205,10.0,122.9200526,165.0
515708.7886,6937253.146,10.00537959,123.0,165.0
515709.4706,6937252.415,10.15024958,124.0,165.0
515710.1527,6937251.683,10.3938209,125.0,165.0
515710.3911,6937251.428,10.5,125.349603,165.0
515710.8347,6937250.952,10.76752397,126.0,165.0
515711.3007,6937250.452,11.0,126.6833361,165.0
515683.1102,6937280.681,11.0,85.34957007,170.0
515682.8718,6937280.937,10.81243788,85.0,170.0
515682.287,6937281.564,10.5,84.14252619,170.0
515682.1898,6937281.668,10.47065373,84.0,170.0
515681.5078,6937282.399,10.25053831,83.0,170.0
515680.8257,6937283.131,10.02791662,82.0,170.0
515680.7523,6937283.21,10.0,81.89226458,170.0
515680.1437,6937283.862,9.813974886,81.0,170.0
515679.4617,6937284.593,9.685626078,80.0,170.0
515678.7797,6937285.325,9.591617866,79.0,170.0
515678.0977,6937286.056,9.505611884,78.0,170.0
515678.0518,6937286.105,9.5,77.93282255,170.0
515677.4156,6937286.787,9.422182936,77.0,170.0
515676.7336,6937287.519,9.326200355,76.0,170.0
515676.0516,6937288.25,9.217379274,75.0,170.0
515675.3696,6937288.981,9.052284885,74.0,170.0
515675.1073,6937289.263,9.0,73.61546183,170.0
515674.6876,6937289.713,8.874183059,73.0,170.0
515674.0055,6937290.444,8.697327934,72.0,170.0
515673.3235,6937291.175,8.530296809,71.0,170.0
515673.1845,6937291.324,8.5,70.79620284,170.0
515673.3235,6937291.175,8.438856241,71.0,170.0
