Easting,Northing,Elevation,Chainage,Vs
516829.6,6936201.43,6.29,0,180
516829.6,6936201.43,6.69,0,180
516829.6,6936201.43,5.97,0,185
516829.6,6936201.43,7.02,0,185
516829.6,6936201.43,5.85,0,190
516829.6,6936201.43,7.34,0,190
516829.6,6936201.43,5.73,0,195
516829.6,6936201.43,7.63,0,195
516829.6,6936201.43,5.61,0,200
516829.6,6936201.43,7.91,0,200
516829.6,6936201.43,8.18,0,205
516829.6,6936201.43,5.49,0,205
516829.6,6936201.43,8.44,0,210
516829.6,6936201.43,5.37,0,210
516829.6,6936201.43,5.24,0,215
516829.6,6936201.43,5.12,0,220
516829.6,6936201.43,5,0,225
516829.6,6936201.43,4.94,0,230
516829.6,6936201.43,4.89,0,235
516829.6,6936201.43,4.83,0,240
516829.6,6936201.43,4.77,0,245
516829.6,6936201.43,4.71,0,250
516829.6,6936201.43,4.66,0,255
516829.6,6936201.43,4.6,0,260
516829.6,6936201.43,4.54,0,265
516829.6,6936201.43,4.49,0,270
516829.6,6936201.43,4.43,0,275
516829.6,6936201.43,4.37,0,280
516829.6,6936201.43,4.32,0,285
516829.6,6936201.43,4.26,0,290
516829.6,6936201.43,4.2,0,295
516829.6,6936201.43,4.15,0,300
516829.6,6936201.43,4.09,0,305
516829.6,6936201.43,4.03,0,310
516829.6,6936201.43,3.97,0,315
516829.6,6936201.43,3.9,0,320
516829.6,6936201.43,-0.59,0,325
516829.6,6936201.43,-0.36,0,325
516829.6,6936201.43,3.83,0,325
516829.6,6936201.43,-1.15,0,330
516829.6,6936201.43,0.08,0,330
516829.6,6936201.43,3.76,0,330
516829.6,6936201.43,-1.5,0,335
516829.6,6936201.43,0.21,0,335
516829.6,6936201.43,3.69,0,335
516829.6,6936201.43,-1.6,0,340
516829.6,6936201.43,3.62,0,340
516829.6,6936201.43,0.33,0,340
516829.6,6936201.43,-1.69,0,345
516829.6,6936201.43,3.55,0,345
516829.6,6936201.43,0.45,0,345
516829.6,6936201.43,-1.79,0,350
516829.6,6936201.43,3.48,0,350
516829.6,6936201.43,0.57,0,350
516829.6,6936201.43,-1.89,0,355
516829.6,6936201.43,3.38,0,355
516829.6,6936201.43,0.69,0,355
516829.6,6936201.43,-1.99,0,360
516829.6,6936201.43,3.28,0,360
516829.6,6936201.43,0.81,0,360
516829.6,6936201.43,-2.08,0,365
516829.6,6936201.43,3.19,0,365
516829.6,6936201.43,0.93,0,365
516829.6,6936201.43,-2.18,0,370
516829.6,6936201.43,3.09,0,370
516829.6,6936201.43,1.08,0,370
516829.6,6936201.43,-2.28,0,375
516829.6,6936201.43,2.99,0,375
516829.6,6936201.43,1.26,0,375
516829.6,6936201.43,-2.37,0,380
516829.6,6936201.43,2.9,0,380
516829.6,6936201.43,1.45,0,380
516829.6,6936201.43,-2.47,0,385
516829.6,6936201.43,2.8,0,385
516829.6,6936201.43,1.66,0,385
516829.6,6936201.43,-2.57,0,390
516829.6,6936201.43,2.7,0,390
516829.6,6936201.43,1.88,0,390
516829.6,6936201.43,-2.66,0,395
516829.6,6936201.43,2.6,0,395
516829.6,6936201.43,2.16,0,395
516829.6,6936201.43,-2.76,0,400
516829.6,6936201.43,2.51,0,400
516829.6,6936201.43,2.48,0,400
516829.6,6936201.43,-2.86,0,405
516829.6,6936201.43,-2.95,0,410
516829.6,6936201.43,-3.05,0,415
516829.6,6936201.43,-3.14,0,420
516829.6,6936201.43,-3.24,0,425
516829.6,6936201.43,-3.33,0,430
516829.6,6936201.43,-3.43,0,435
516829.6,6936201.43,-3.53,0,440
516829.6,6936201.43,-3.63,0,445
516829.6,6936201.43,-3.74,0,450
516829.6,6936201.43,-3.84,0,455
516829.6,6936201.43,-3.94,0,460
516829.6,6936201.43,-4.09,0,465
516829.6,6936201.43,-4.27,0,470
516829.6,6936201.43,-4.46,0,475
516829.6,6936201.43,-4.64,0,480
516829.6,6936201.43,-4.82,0,485
516829.6,6936201.43,-5.01,0,490
516829.6,6936201.43,-5.42,0,495
516829.6,6936201.43,-6.11,0,500
516829.6,6936201.43,-9.59,0,505
516829.6,6936201.43,-10.28,0,510
516829.6,6936201.43,-10.84,0,515
516829.6,6936201.43,-11.36,0,520
516829.6,6936201.43,-11.92,0,525
516829.6,6936201.43,-12.51,0,530
516829.6,6936201.43,-13.32,0,535
516829.6,6936201.43,-15.51,0,540
516829.6,6936201.43,-17.48,0,545
516829.6,6936201.43,-18.08,0,550
516829.6,6936201.43,-18.52,0,555
516829.6,6936201.43,-18.89,0,560
516829.6,6936201.43,-19.18,0,565
516829.6,6936201.43,-19.43,0,570
516829.6,6936201.43,-19.65,0,575
516829.6,6936201.43,-19.85,0,580
516829.6,6936201.43,-20.06,0,585
516829.6,6936201.43,-20.25,0,590
516829.6,6936201.43,-20.45,0,595
516829.6,6936201.43,-20.6,0,600
516829.6,6936201.43,-20.73,0,605
516829.6,6936201.43,-20.86,0,610
516829.6,6936201.43,-20.99,0,615
516829.6,6936201.43,-21.12,0,620
516829.6,6936201.43,-21.25,0,625
516829.6,6936201.43,-21.38,0,630
516829.6,6936201.43,-21.51,0,635
516829.6,6936201.43,-21.62,0,640
516829.6,6936201.43,-21.73,0,645
516829.6,6936201.43,-21.84,0,650
516829.6,6936201.43,-21.95,0,655
516829.6,6936201.43,-22.05,0,660
516829.6,6936201.43,-22.15,0,665
516829.6,6936201.43,-22.25,0,670
516829.6,6936201.43,-22.34,0,675
516829.6,6936201.43,-22.44,0,680
516829.6,6936201.43,-22.54,0,685
516829.6,6936201.43,-22.63,0,690
516829.6,6936201.43,-22.73,0,695
516829.6,6936201.43,-22.83,0,700
516829.6,6936201.43,-22.92,0,705
516829.6,6936201.43,-23.01,0,710
516829.6,6936201.43,-23.09,0,715
516829.6,6936201.43,-23.17,0,720
516829.6,6936201.43,-23.25,0,725
516829.6,6936201.43,-23.33,0,730
516829.6,6936201.43,-23.41,0,735
516829.6,6936201.43,-23.49,0,740
516829.6,6936201.43,-23.57,0,745
516829.6,6936201.43,-23.65,0,750
516829.6,6936201.43,-23.73,0,755
516829.6,6936201.43,-23.81,0,760
516829.6,6936201.43,-23.89,0,765
516829.6,6936201.43,-23.97,0,770
516829.6,6936201.43,-24.04,0,775
516829.6,6936201.43,-24.12,0,780
516829.6,6936201.43,-24.19,0,785
516829.6,6936201.43,-24.27,0,790
516829.6,6936201.43,-24.34,0,795
516829.6,6936201.43,-24.42,0,800
516829.6,6936201.43,-24.49,0,805
516829.6,6936201.43,-24.56,0,810
516829.6,6936201.43,-24.63,0,815
516829.6,6936201.43,-24.7,0,820
516829.6,6936201.43,-24.77,0,825
516829.6,6936201.43,-24.84,0,830
516829.6,6936201.43,-24.91,0,835
516829.6,6936201.43,-24.98,0,840
516829.6,6936201.43,-25.05,0,845
516829.6,6936201.43,-25.13,0,850
516829.6,6936201.43,-25.2,0,855
516829.6,6936201.43,-25.27,0,860
516829.6,6936201.43,-25.34,0,865
516829.6,6936201.43,-25.41,0,870
516829.6,6936201.43,-25.48,0,875
516829.6,6936201.43,-25.55,0,880
516829.6,6936201.43,-25.61,0,885
516829.6,6936201.43,-25.68,0,890
516829.6,6936201.43,-25.75,0,895
516829.6,6936201.43,-25.82,0,900
516829.6,6936201.43,-25.89,0,905
516829.6,6936201.43,-25.96,0,910
516829.6,6936201.43,-26.03,0,915
516829.6,6936201.43,-26.1,0,920
516829.6,6936201.43,-26.16,0,925
516829.6,6936201.43,-26.23,0,930
516829.6,6936201.43,-26.3,0,935
516829.6,6936201.43,-26.37,0,940
