Easting,Northing,Elevation,Chainage,Vs
510054.37,6942955.12,43.01,0,310
510054.37,6942955.12,42.47,0,310
510054.37,6942955.12,42.47,0,315
510054.37,6942955.12,42.17,0,315
510054.37,6942955.12,43.58,0,315
510054.37,6942955.12,43.01,0,315
510054.37,6942955.12,45,0,320
510054.37,6942955.12,44.87,0,320
510054.37,6942955.12,42.17,0,320
510054.37,6942955.12,41.94,0,320
510054.37,6942955.12,43.93,0,320
510054.37,6942955.12,43.58,0,320
510054.37,6942955.12,44.52,0,325
510054.37,6942955.12,44.87,0,325
510054.37,6942955.12,41.94,0,325
510054.37,6942955.12,41.79,0,325
510054.37,6942955.12,44.47,0,325
510054.37,6942955.12,43.93,0,325
510054.37,6942955.12,44.52,0,330
510054.37,6942955.12,44.47,0,330
510054.37,6942955.12,41.79,0,330
510054.37,6942955.12,41.64,0,330
510054.37,6942955.12,41.64,0,335
510054.37,6942955.12,41.49,0,335
510054.37,6942955.12,41.49,0,340
510054.37,6942955.12,41.37,0,340
510054.37,6942955.12,41.37,0,345
510054.37,6942955.12,41.24,0,345
510054.37,6942955.12,41.24,0,350
510054.37,6942955.12,41.11,0,350
510054.37,6942955.12,41.11,0,355
510054.37,6942955.12,40.99,0,355
510054.37,6942955.12,40.99,0,360
510054.37,6942955.12,40.83,0,360
510054.37,6942955.12,40.83,0,365
510054.37,6942955.12,40.67,0,365
510054.37,6942955.12,40.67,0,370
510054.37,6942955.12,40.51,0,370
510054.37,6942955.12,40.51,0,375
510054.37,6942955.12,40.27,0,375
510054.37,6942955.12,40.27,0,380
510054.37,6942955.12,40.01,0,380
510054.37,6942955.12,40.01,0,385
510054.37,6942955.12,39.61,0,385
510054.37,6942955.12,39.61,0,390
510054.37,6942955.12,39,0,390
510054.37,6942955.12,39,0,395
510054.37,6942955.12,38.41,0,395
510054.37,6942955.12,38.41,0,400
510054.37,6942955.12,38.06,0,400
510054.37,6942955.12,38.06,0,405
510054.37,6942955.12,37.82,0,405
510054.37,6942955.12,37.82,0,410
510054.37,6942955.12,37.59,0,410
510054.37,6942955.12,37.59,0,415
510054.37,6942955.12,37.4,0,415
510054.37,6942955.12,37.4,0,420
510054.37,6942955.12,37.23,0,420
510054.37,6942955.12,37.23,0,425
510054.37,6942955.12,37.06,0,425
510054.37,6942955.12,37.06,0,430
510054.37,6942955.12,36.9,0,430
510054.37,6942955.12,36.9,0,435
510054.37,6942955.12,36.75,0,435
510054.37,6942955.12,36.75,0,440
510054.37,6942955.12,36.6,0,440
510054.37,6942955.12,36.6,0,445
510054.37,6942955.12,36.45,0,445
510054.37,6942955.12,36.45,0,450
510054.37,6942955.12,36.31,0,450
510054.37,6942955.12,36.31,0,455
510054.37,6942955.12,36.18,0,455
510054.37,6942955.12,36.18,0,460
510054.37,6942955.12,36.04,0,460
510054.37,6942955.12,36.04,0,465
510054.37,6942955.12,35.91,0,465
510054.37,6942955.12,35.91,0,470
510054.37,6942955.12,35.79,0,470
510054.37,6942955.12,35.79,0,475
510054.37,6942955.12,35.67,0,475
510054.37,6942955.12,35.67,0,480
510054.37,6942955.12,35.55,0,480
510054.37,6942955.12,35.55,0,485
510054.37,6942955.12,35.44,0,485
510054.37,6942955.12,35.44,0,490
510054.37,6942955.12,35.33,0,490
510054.37,6942955.12,35.33,0,495
510054.37,6942955.12,35.23,0,495
510054.37,6942955.12,35.23,0,500
510054.37,6942955.12,35.12,0,500
510054.37,6942955.12,35.12,0,505
510054.37,6942955.12,35.01,0,505
510054.37,6942955.12,35.01,0,510
