column_3,column_4,column_1,column,column_2
510080.77,6942988.98,40.99,0.5,330.0
510080.86,6942988.93,41.0,0.6,330.0
510080.77,6942988.98,41.01,0.5,330.0
510080.35,6942989.22,41.06,0.01,330.0
510080.35,6942989.22,40.97,0.01,330.0
510080.77,6942988.98,40.77,0.5,335.0
510081.2,6942988.74,40.8,0.99,335.0
510081.62,6942988.5,40.85,1.48,335.0
510082.05,6942988.26,40.9,1.97,335.0
510082.47,6942988.02,40.96,2.46,335.0
510082.54,6942987.98,41.0,2.54,335.0
510082.47,6942988.02,41.04,2.46,335.0
510082.05,6942988.26,41.13,1.97,335.0
510081.62,6942988.5,41.19,1.48,335.0
510081.2,6942988.74,41.29,0.99,335.0
510080.77,6942988.98,41.39,0.5,335.0
510080.42,6942989.18,41.5,0.1,335.0
510080.35,6942989.22,41.51,0.01,335.0
510080.35,6942989.22,41.06,0.01,335.0
510080.77,6942988.98,41.01,0.5,335.0
510080.86,6942988.93,41.0,0.6,335.0
510080.77,6942988.98,40.99,0.5,335.0
510080.35,6942989.22,40.97,0.01,335.0
510080.35,6942989.22,40.74,0.01,335.0
510080.77,6942988.98,40.55,0.5,340.0
510081.2,6942988.74,40.58,0.99,340.0
510081.62,6942988.5,40.63,1.48,340.0
510082.05,6942988.26,40.67,1.97,340.0
510082.47,6942988.02,40.72,2.46,340.0
510082.9,6942987.78,40.89,2.94,340.0
510083.1,6942987.66,41.0,3.17,340.0
510082.9,6942987.78,41.12,2.94,340.0
510082.47,6942988.02,41.32,2.46,340.0
510082.05,6942988.26,41.4,1.97,340.0
510081.62,6942988.5,41.47,1.48,340.0
510081.53,6942988.55,41.5,1.38,340.0
510081.2,6942988.74,41.54,0.99,340.0
510080.77,6942988.98,41.59,0.5,340.0
510080.35,6942989.22,41.62,0.01,340.0
510080.35,6942989.22,41.51,0.01,340.0
510080.42,6942989.18,41.5,0.1,340.0
510080.77,6942988.98,41.39,0.5,340.0
510081.2,6942988.74,41.29,0.99,340.0
510081.62,6942988.5,41.19,1.48,340.0
510082.05,6942988.26,41.13,1.97,340.0
510082.47,6942988.02,41.04,2.46,340.0
510082.54,6942987.98,41.0,2.54,340.0
510082.47,6942988.02,40.96,2.46,340.0
510082.05,6942988.26,40.9,1.97,340.0
510081.62,6942988.5,40.85,1.48,340.0
510081.2,6942988.74,40.8,0.99,340.0
510080.77,6942988.98,40.77,0.5,340.0
510080.35,6942989.22,40.74,0.01,340.0
510080.35,6942989.22,40.51,0.01,340.0
510080.77,6942988.98,40.42,0.5,345.0
510081.2,6942988.74,40.44,0.99,345.0
510081.62,6942988.5,40.46,1.48,345.0
510082.05,6942988.26,40.47,1.97,345.0
510082.47,6942988.02,40.49,2.46,345.0
510082.9,6942987.78,40.5,2.94,345.0
510082.9,6942987.78,40.5,2.95,345.0
510083.32,6942987.54,40.73,3.43,345.0
510083.75,6942987.29,40.85,3.92,345.0
510084.18,6942987.05,40.93,4.41,345.0
510084.6,6942986.81,40.98,4.9,345.0
510084.63,6942986.8,41.0,4.93,345.0
510084.6,6942986.81,41.02,4.9,345.0
510084.18,6942987.05,41.07,4.41,345.0
510083.75,6942987.29,41.19,3.92,345.0
510083.34,6942987.53,41.5,3.45,345.0
510083.32,6942987.54,41.5,3.43,345.0
510082.9,6942987.78,41.52,2.94,345.0
510082.47,6942988.02,41.55,2.46,345.0
510082.05,6942988.26,41.59,1.97,345.0
510081.62,6942988.5,41.62,1.48,345.0
510081.2,6942988.74,41.67,0.99,345.0
510080.77,6942988.98,41.71,0.5,345.0
510080.35,6942989.22,41.74,0.01,345.0
510080.35,6942989.22,41.62,0.01,345.0
510080.77,6942988.98,41.59,0.5,345.0
510081.2,6942988.74,41.54,0.99,345.0
510081.53,6942988.55,41.5,1.38,345.0
510081.62,6942988.5,41.47,1.48,345.0
510082.05,6942988.26,41.4,1.97,345.0
510082.47,6942988.02,41.32,2.46,345.0
510082.9,6942987.78,41.12,2.94,345.0
510083.1,6942987.66,41.0,3.17,345.0
510082.9,6942987.78,40.89,2.94,345.0
510082.47,6942988.02,40.72,2.46,345.0
510082.05,6942988.26,40.67,1.97,345.0
510081.62,6942988.5,40.63,1.48,345.0
510081.2,6942988.74,40.58,0.99,345.0
510080.77,6942988.98,40.55,0.5,345.0
510080.35,6942989.22,40.51,0.01,345.0
510080.35,6942989.22,40.4,0.01,345.0
510080.77,6942988.98,40.32,0.5,350.0
510081.2,6942988.74,40.33,0.99,350.0
510081.62,6942988.5,40.35,1.48,350.0
510082.05,6942988.26,40.37,1.97,350.0
510082.47,6942988.02,40.39,2.46,350.0
510082.9,6942987.78,40.4,2.94,350.0
