Easting,Northing,Elevation,Chainage,VS
510200.04,6942922.03,40.54,0.00,385.00
510200.04,6942922.03,40.49,0.00,385.00
510200.04,6942922.03,41.22,0.00,390.00
510200.04,6942922.03,40.18,0.00,390.00
510200.04,6942922.03,41.63,0.00,395.00
510200.04,6942922.03,39.94,0.00,395.00
510200.04,6942922.03,41.98,0.00,400.00
510200.04,6942922.03,39.80,0.00,400.00
510200.04,6942922.03,42.32,0.00,405.00
510200.04,6942922.03,39.65,0.00,405.00
510200.04,6942922.03,42.70,0.00,410.00
510200.04,6942922.03,39.51,0.00,410.00
510200.04,6942922.03,43.21,0.00,415.00
510200.04,6942922.03,39.42,0.00,415.00
510200.04,6942922.03,44.50,0.00,420.00
510200.04,6942922.03,39.34,0.00,420.00
510200.04,6942922.03,39.26,0.00,425.00
510200.04,6942922.03,39.18,0.00,430.00
510200.04,6942922.03,39.09,0.00,435.00
510200.04,6942922.03,39.01,0.00,440.00
510200.04,6942922.03,38.95,0.00,445.00
510200.04,6942922.03,38.89,0.00,450.00
510200.04,6942922.03,38.82,0.00,455.00
510200.04,6942922.03,38.76,0.00,460.00
510200.04,6942922.03,38.70,0.00,465.00
510200.04,6942922.03,38.64,0.00,470.00
510200.04,6942922.03,38.58,0.00,475.00
510200.04,6942922.03,38.52,0.00,480.00
510200.04,6942922.03,38.46,0.00,485.00
510200.04,6942922.03,38.41,0.00,490.00
510200.04,6942922.03,38.35,0.00,495.00
510200.04,6942922.03,38.30,0.00,500.00
510200.04,6942922.03,38.24,0.00,505.00
510200.04,6942922.03,38.18,0.00,510.00
510200.04,6942922.03,38.13,0.00,515.00
510200.04,6942922.03,38.07,0.00,520.00
510200.04,6942922.03,38.02,0.00,525.00
510200.04,6942922.03,37.96,0.00,530.00
510200.04,6942922.03,37.91,0.00,535.00
510200.04,6942922.03,37.85,0.00,540.00
510200.04,6942922.03,37.79,0.00,545.00
510200.04,6942922.03,37.73,0.00,550.00
510200.04,6942922.03,37.68,0.00,555.00
510200.04,6942922.03,37.62,0.00,560.00
510200.04,6942922.03,37.56,0.00,565.00
510200.04,6942922.03,37.50,0.00,570.00
510200.04,6942922.03,37.44,0.00,575.00
510200.04,6942922.03,37.37,0.00,580.00
510200.04,6942922.03,37.31,0.00,585.00
510200.04,6942922.03,37.24,0.00,590.00
510200.04,6942922.03,37.17,0.00,595.00
510200.04,6942922.03,37.11,0.00,600.00
510200.04,6942922.03,37.04,0.00,605.00
510200.04,6942922.03,36.97,0.00,610.00
510200.04,6942922.03,36.89,0.00,615.00
510200.04,6942922.03,36.81,0.00,620.00
510200.04,6942922.03,36.73,0.00,625.00
510200.04,6942922.03,36.65,0.00,630.00
510200.04,6942922.03,36.57,0.00,635.00
510200.04,6942922.03,36.49,0.00,640.00
510200.04,6942922.03,36.40,0.00,645.00
510200.04,6942922.03,36.31,0.00,650.00
510200.04,6942922.03,36.22,0.00,655.00
510200.04,6942922.03,36.13,0.00,660.00
510200.04,6942922.03,36.04,0.00,665.00
510200.04,6942922.03,35.95,0.00,670.00
510200.04,6942922.03,35.85,0.00,675.00
510200.04,6942922.03,35.75,0.00,680.00
510200.04,6942922.03,35.66,0.00,685.00
510200.04,6942922.03,35.56,0.00,690.00
510200.04,6942922.03,35.47,0.00,695.00
510200.04,6942922.03,35.37,0.00,700.00
510200.04,6942922.03,35.27,0.00,705.00
510200.04,6942922.03,35.17,0.00,710.00
510200.04,6942922.03,35.08,0.00,715.00
510200.04,6942922.03,34.98,0.00,720.00
510200.04,6942922.03,34.88,0.00,725.00
510200.04,6942922.03,34.77,0.00,730.00
510200.04,6942922.03,34.67,0.00,735.00
510200.04,6942922.03,34.57,0.00,740.00
510200.04,6942922.03,34.47,0.00,745.00
510200.04,6942922.03,34.35,0.00,750.00
510200.04,6942922.03,34.24,0.00,755.00
510200.04,6942922.03,34.12,0.00,760.00
510200.04,6942922.03,34.01,0.00,765.00
510200.04,6942922.03,33.86,0.00,770.00
510200.04,6942922.03,33.70,0.00,775.00
510200.04,6942922.03,33.55,0.00,780.00
510200.04,6942922.03,33.38,0.00,785.00
510200.04,6942922.03,33.19,0.00,790.00
510200.04,6942922.03,33.00,0.00,795.00
510200.04,6942922.03,32.76,0.00,800.00
510200.04,6942922.03,32.51,0.00,805.00
510200.04,6942922.03,32.25,0.00,810.00
510200.04,6942922.03,32.00,0.00,815.00
510200.04,6942922.03,31.77,0.00,820.00
510200.04,6942922.03,31.54,0.00,825.00
510200.04,6942922.03,31.33,0.00,830.00
510200.04,6942922.03,31.12,0.00,835.00
510200.04,6942922.03,30.91,0.00,840.00
510200.04,6942922.03,30.70,0.00,845.00
510200.04,6942922.03,30.50,0.00,850.00
510200.04,6942922.03,30.28,0.00,855.00
510200.04,6942922.03,30.06,0.00,860.00
510200.04,6942922.03,29.82,0.00,865.00
510200.04,6942922.03,29.57,0.00,870.00
510200.04,6942922.03,29.29,0.00,875.00
510200.04,6942922.03,29.01,0.00,880.00
510200.04,6942922.03,28.72,0.00,885.00
510200.04,6942922.03,28.43,0.00,890.00
510200.04,6942922.03,28.15,0.00,895.00
510200.04,6942922.03,27.89,0.00,900.00
510200.04,6942922.03,27.65,0.00,905.00
510200.04,6942922.03,27.42,0.00,910.00
510200.04,6942922.03,27.20,0.00,915.00
510200.04,6942922.03,26.99,0.00,920.00
510200.04,6942922.03,26.79,0.00,925.00
510200.04,6942922.03,26.60,0.00,930.00
510200.04,6942922.03,26.40,0.00,935.00
510200.04,6942922.03,26.21,0.00,940.00
510200.04,6942922.03,26.02,0.00,945.00
510200.04,6942922.03,25.81,0.00,950.00
510200.04,6942922.03,25.61,0.00,955.00
510200.04,6942922.03,25.40,0.00,960.00
510200.04,6942922.03,25.17,0.00,965.00
510200.04,6942922.03,24.95,0.00,970.00
510200.04,6942922.03,24.71,0.00,975.00
510200.04,6942922.03,24.47,0.00,980.00
510200.04,6942922.03,24.23,0.00,985.00
510200.04,6942922.03,23.99,0.00,990.00
510200.04,6942922.03,23.70,0.00,995.00
510200.04,6942922.03,15.00,0.00,1000.00
510200.09,6942922.00,42.00,0.10,400.00
510200.16,6942921.97,44.50,0.10,420.00
510200.11,6942921.99,30.50,0.10,850.00
510200.19,6942921.95,36.50,0.20,640.00
510200.19,6942921.95,32.00,0.20,815.00
510200.42,6942921.84,41.00,0.40,385.00
510200.48,6942921.80,41.04,0.50,385.00
510200.48,6942921.80,40.48,0.50,385.00
510200.48,6942921.80,41.47,0.50,390.00
510200.48,6942921.80,40.19,0.50,390.00
510200.48,6942921.80,41.84,0.50,395.00
510200.48,6942921.80,39.95,0.50,395.00
510200.48,6942921.80,42.18,0.50,400.00
510200.48,6942921.80,39.82,0.50,400.00
510200.50,6942921.79,42.50,0.50,405.00
510200.48,6942921.80,42.49,0.50,405.00
510200.48,6942921.80,39.68,0.50,405.00
510200.48,6942921.80,42.86,0.50,410.00
510200.48,6942921.80,39.54,0.50,410.00
510200.48,6942921.80,43.33,0.50,415.00
510200.48,6942921.80,39.45,0.50,415.00
510200.48,6942921.80,44.34,0.50,420.00
510200.48,6942921.80,39.36,0.50,420.00
510200.48,6942921.80,44.50,0.50,425.00
510200.48,6942921.80,39.28,0.50,425.00
510200.48,6942921.80,39.20,0.50,430.00
510200.48,6942921.80,39.12,0.50,435.00
510200.48,6942921.80,39.04,0.50,440.00
510200.48,6942921.80,38.97,0.50,445.00
510200.48,6942921.80,38.91,0.50,450.00
510200.48,6942921.80,38.85,0.50,455.00
510200.48,6942921.80,38.78,0.50,460.00
510200.48,6942921.80,38.72,0.50,465.00
510200.48,6942921.80,38.66,0.50,470.00
510200.48,6942921.80,38.60,0.50,475.00
510200.48,6942921.80,38.54,0.50,480.00
510200.48,6942921.80,38.48,0.50,485.00
510200.48,6942921.80,38.42,0.50,490.00
510200.48,6942921.80,38.37,0.50,495.00
510200.48,6942921.80,38.31,0.50,500.00
510200.48,6942921.80,38.26,0.50,505.00
510200.48,6942921.80,38.20,0.50,510.00
510200.48,6942921.80,38.15,0.50,515.00
510200.48,6942921.80,38.09,0.50,520.00
510200.48,6942921.80,38.04,0.50,525.00
510200.48,6942921.80,37.98,0.50,530.00
510200.48,6942921.80,37.92,0.50,535.00
510200.48,6942921.80,37.86,0.50,540.00
510200.48,6942921.80,37.81,0.50,545.00
510200.48,6942921.80,37.75,0.50,550.00
510200.48,6942921.80,37.69,0.50,555.00
510200.48,6942921.80,37.63,0.50,560.00
510200.48,6942921.80,37.58,0.50,565.00
510200.48,6942921.80,37.52,0.50,570.00
510200.48,6942921.80,37.45,0.50,575.00
510200.48,6942921.80,37.39,0.50,580.00
510200.48,6942921.80,37.32,0.50,585.00
510200.48,6942921.80,37.26,0.50,590.00
510200.48,6942921.80,37.19,0.50,595.00
510200.48,6942921.80,37.12,0.50,600.00
510200.48,6942921.80,37.06,0.50,605.00
510200.48,6942921.80,36.99,0.50,610.00
510200.48,6942921.80,36.91,0.50,615.00
510200.48,6942921.80,36.83,0.50,620.00
510200.48,6942921.80,36.75,0.50,625.00
510200.48,6942921.80,36.67,0.50,630.00
510200.48,6942921.80,36.59,0.50,635.00
510200.48,6942921.80,36.51,0.50,640.00
510200.48,6942921.80,36.42,0.50,645.00
510200.48,6942921.80,36.33,0.50,650.00
510200.48,6942921.80,36.24,0.50,655.00
510200.48,6942921.80,36.14,0.50,660.00
510200.48,6942921.80,36.05,0.50,665.00
510200.48,6942921.80,35.96,0.50,670.00
510200.48,6942921.80,35.86,0.50,675.00
510200.48,6942921.80,35.77,0.50,680.00
510200.48,6942921.80,35.67,0.50,685.00
510200.48,6942921.80,35.57,0.50,690.00
510200.48,6942921.80,35.48,0.50,695.00
510200.48,6942921.80,35.38,0.50,700.00
510200.48,6942921.80,35.28,0.50,705.00
510200.48,6942921.80,35.18,0.50,710.00
510200.48,6942921.80,35.08,0.50,715.00
510200.48,6942921.80,34.99,0.50,720.00
510200.48,6942921.80,34.88,0.50,725.00
510200.48,6942921.80,34.78,0.50,730.00
510200.48,6942921.80,34.68,0.50,735.00
510200.48,6942921.80,34.58,0.50,740.00
510200.48,6942921.80,34.48,0.50,745.00
510200.48,6942921.80,34.36,0.50,750.00
510200.48,6942921.80,34.24,0.50,755.00
510200.48,6942921.80,34.13,0.50,760.00
510200.48,6942921.80,34.01,0.50,765.00
510200.48,6942921.80,33.87,0.50,770.00
510200.48,6942921.80,33.72,0.50,775.00
510200.48,6942921.80,33.57,0.50,780.00
510200.48,6942921.80,33.39,0.50,785.00
510200.48,6942921.80,33.20,0.50,790.00
510200.48,6942921.80,33.01,0.50,795.00
510200.48,6942921.80,32.77,0.50,800.00
510200.48,6942921.80,32.52,0.50,805.00
510200.48,6942921.80,32.26,0.50,810.00
510200.48,6942921.80,32.01,0.50,815.00
510200.48,6942921.80,31.78,0.50,820.00
510200.48,6942921.80,31.55,0.50,825.00
510200.48,6942921.80,31.33,0.50,830.00
510200.48,6942921.80,31.12,0.50,835.00
510200.48,6942921.80,30.92,0.50,840.00
510200.48,6942921.80,30.71,0.50,845.00
510200.48,6942921.80,30.51,0.50,850.00
510200.48,6942921.80,30.29,0.50,855.00
510200.48,6942921.80,30.07,0.50,860.00
510200.48,6942921.80,29.83,0.50,865.00
510200.48,6942921.80,29.58,0.50,870.00
510200.48,6942921.80,29.31,0.50,875.00
510200.48,6942921.80,29.03,0.50,880.00
510200.48,6942921.80,28.74,0.50,885.00
510200.48,6942921.80,28.45,0.50,890.00
510200.48,6942921.80,28.17,0.50,895.00
510200.48,6942921.80,27.90,0.50,900.00
510200.48,6942921.80,27.66,0.50,905.00
510200.48,6942921.80,27.42,0.50,910.00
510200.48,6942921.80,27.21,0.50,915.00
510200.48,6942921.80,27.00,0.50,920.00
510200.48,6942921.80,26.80,0.50,925.00
510200.48,6942921.80,26.60,0.50,930.00
510200.48,6942921.80,26.40,0.50,935.00
510200.48,6942921.80,26.21,0.50,940.00
510200.48,6942921.80,26.01,0.50,945.00
