Easting,Northing,Elevation,Chainage,Velocity
509000.03,6946597.28,50.76,0.00,225.00
509000.03,6946597.28,50.11,0.00,250.00
509000.03,6946597.28,49.43,0.00,275.00
509000.03,6946597.28,48.62,0.00,300.00
509000.03,6946597.28,47.66,0.00,325.00
509000.03,6946597.28,46.62,0.00,350.00
509000.03,6946597.28,45.63,0.00,375.00
509000.03,6946597.28,44.70,0.00,400.00
509000.03,6946597.28,43.79,0.00,425.00
509000.03,6946597.28,42.77,0.00,450.00
509000.03,6946597.28,41.50,0.00,475.00
509000.03,6946597.28,39.76,0.00,500.00
509000.03,6946597.28,37.57,0.00,525.00
509000.03,6946597.28,33.56,0.00,550.00
509000.03,6946597.28,30.17,0.00,575.00
509000.03,6946597.28,29.08,0.00,600.00
509000.03,6946597.28,28.33,0.00,625.00
509000.03,6946597.28,27.71,0.00,650.00
509000.03,6946597.28,27.17,0.00,675.00
509000.03,6946597.28,26.67,0.00,700.00
509000.03,6946597.28,26.21,0.00,725.00
509000.03,6946597.28,25.77,0.00,750.00
509000.03,6946597.28,25.35,0.00,775.00
509000.03,6946597.28,24.95,0.00,800.00
509000.03,6946597.28,24.55,0.00,825.00
509000.03,6946597.28,24.17,0.00,850.00
509000.03,6946597.28,23.79,0.00,875.00
509000.03,6946597.28,23.40,0.00,900.00
509000.03,6946597.28,22.79,0.00,925.00
509000.03,6946597.28,52.29,0.00,205.00
509000.03,6946597.28,51.32,0.00,205.00
509000.03,6946597.28,51.32,0.00,210.00
509000.03,6946597.28,51.09,0.00,210.00
509000.03,6946597.28,52.61,0.00,210.00
509000.03,6946597.28,52.29,0.00,210.00
509000.03,6946597.28,51.09,0.00,215.00
509000.03,6946597.28,50.92,0.00,215.00
509000.03,6946597.28,50.92,0.00,220.00
509000.03,6946597.28,50.76,0.00,220.00
509000.03,6946597.28,50.76,0.00,225.00
509000.03,6946597.28,50.63,0.00,225.00
509000.03,6946597.28,50.63,0.00,230.00
509000.03,6946597.28,50.49,0.00,230.00
509000.03,6946597.28,50.49,0.00,235.00
509000.03,6946597.28,50.36,0.00,235.00
509000.03,6946597.28,50.36,0.00,240.00
509000.03,6946597.28,50.23,0.00,240.00
509000.03,6946597.28,50.23,0.00,245.00
