X,Y,Z,Vs
509517.008800,6944466.623000,32.197160,245
509516.604600,6944466.329000,32.209185,245
509516.200500,6944466.035000,32.205565,245
509515.796300,6944465.740000,32.210862,245
509515.392200,6944465.446000,32.216167,245
509514.988100,6944465.151000,32.216366,245
509514.829600,6944465.036000,32.300000,245
509514.980400,6944465.146000,32.800000,245
509514.988100,6944465.151000,32.812519,245
509515.240200,6944465.335000,33.300000,245
509515.392200,6944465.446000,33.399061,245
509515.796300,6944465.740000,33.430858,245
509516.200500,6944466.035000,33.461730,245
509516.604600,6944466.329000,33.482498,245
509517.008800,6944466.623000,33.451787,245
509517.412900,6944466.918000,33.421964,245
509517.670800,6944467.106000,33.300000,245
509517.699100,6944467.126000,32.800000,245
509517.563900,6944467.028000,32.300000,245
509517.412900,6944466.918000,32.240931,245
509515.796300,6944465.740000,31.906940,250
509515.392200,6944465.446000,31.909610,250
509514.988100,6944465.151000,31.951227,250
509514.583900,6944464.857000,32.122918,250
509514.179800,6944464.563000,32.248649,250
509514.056400,6944464.473000,32.300000,250
509514.163200,6944464.551000,32.800000,250
509514.179800,6944464.563000,32.830815,250
509514.458800,6944464.766000,33.300000,250
509514.583900,6944464.857000,33.396799,250
509514.988100,6944465.151000,33.658167,250
509515.302400,6944465.380000,33.800000,250
509515.392200,6944465.446000,33.828817,250
509515.796300,6944465.740000,33.859898,250
509516.200500,6944466.035000,33.890756,250
509516.604600,6944466.329000,33.909934,250
509517.008800,6944466.623000,33.873821,250
509517.412900,6944466.918000,33.837472,250
509517.817100,6944467.212000,33.800843,250
509517.822000,6944467.216000,33.800000,250
509518.221200,6944467.507000,33.652530,250
509518.625400,6944467.801000,33.504375,250
509519.029500,6944468.095000,33.411001,250
509519.433700,6944468.390000,33.348450,250
509519.581500,6944468.497000,33.300000,250
509519.433700,6944468.390000,33.208397,250
509519.086100,6944468.137000,32.800000,250
509519.029500,6944468.095000,32.754847,250
509518.663300,6944467.829000,32.300000,250
509518.625400,6944467.801000,32.286978,250
509518.221200,6944467.507000,32.248751,250
509517.817100,6944467.212000,32.140815,250
509517.412900,6944466.918000,32.012474,250
509517.008800,6944466.623000,31.957128,250
509516.604600,6944466.329000,31.914000,250
509516.200500,6944466.035000,31.904221,250
509525.833000,6944473.051000,33.800000,250
509525.900000,6944473.100000,33.816676,250
509525.900000,6944473.100000,33.751713,250
509494.269600,6944450.060000,29.300000,255
509494.376600,6944450.138000,29.396872,255
509494.478100,6944450.211000,29.300000,255
509494.376600,6944450.138000,29.211045,255
509525.900000,6944473.100000,33.104326,255
509525.495900,6944472.806000,33.114483,255
509525.091700,6944472.511000,33.124641,255
509524.687600,6944472.217000,33.134798,255
509524.283400,6944471.922000,33.227355,255
509523.879300,6944471.628000,33.254300,255
509523.475100,6944471.334000,33.267525,255
509523.071000,6944471.039000,33.272772,255
509522.666800,6944470.745000,33.272016,255
509522.262700,6944470.450000,33.270831,255
509521.858500,6944470.156000,33.256872,255
509521.454400,6944469.862000,33.186002,255
509521.050200,6944469.567000,33.050706,255
509520.646100,6944469.273000,32.847650,255
509520.592700,6944469.234000,32.800000,255
509520.242000,6944468.979000,32.663382,255
509519.864200,6944468.703000,32.300000,255
509519.837800,6944468.684000,32.291403,255
509519.433700,6944468.390000,32.259940,255
509519.029500,6944468.095000,32.173130,255
509518.625400,6944467.801000,32.043779,255
509518.221200,6944467.507000,31.967400,255
509517.817100,6944467.212000,31.859792,255
509517.512900,6944466.991000,31.800000,255
509517.412900,6944466.918000,31.784347,255
509517.008800,6944466.623000,31.721583,255
509516.604600,6944466.329000,31.658844,255
509516.200500,6944466.035000,31.645571,255
509515.392200,6944465.446000,31.639638,255
509514.988100,6944465.151000,31.686704,255
509514.583900,6944464.857000,31.780490,255
509514.495000,6944464.792000,31.800000,255
509514.179800,6944464.563000,31.887723,255
509513.775600,6944464.268000,32.046579,255
509513.438900,6944464.023000,32.300000,255
509513.610700,6944464.148000,32.800000,255
509513.768900,6944464.263000,33.300000,255
509513.775600,6944464.268000,33.311435,255
509514.179800,6944464.563000,33.668549,255
509514.372600,6944464.703000,33.800000,255
509514.583900,6944464.857000,33.915651,255
509514.988100,6944465.151000,34.132167,255
509515.392200,6944465.446000,34.240534,255
509515.796300,6944465.740000,34.254702,255
509516.200500,6944466.035000,34.268730,255
509516.604600,6944466.329000,34.275668,255
509517.008800,6944466.623000,34.248617,255
509517.412900,6944466.918000,34.220638,255
509517.817100,6944467.212000,34.191847,255
509518.221200,6944467.507000,34.136246,255
509518.625400,6944467.801000,34.076531,255
509519.029500,6944468.095000,34.016794,255
509519.433700,6944468.390000,33.958397,255
509519.837800,6944468.684000,33.900333,255
509520.242000,6944468.979000,33.824624,255
509520.552000,6944469.204000,33.800000,255
509520.646100,6944469.273000,33.777755,255
509521.050200,6944469.567000,33.729866,255
509521.454400,6944469.862000,33.656720,255
509521.858500,6944470.156000,33.551150,255
509522.188000,6944470.396000,33.800000,255
509522.262700,6944470.450000,33.809922,255
509522.666800,6944470.745000,33.842902,255
509523.071000,6944471.039000,33.900311,255
509523.475100,6944471.334000,34.038821,255
509523.839800,6944471.599000,34.300000,255
509523.879300,6944471.628000,34.314216,255
509524.283400,6944471.922000,34.414283,255
509524.687600,6944472.217000,34.498747,255
509525.091700,6944472.511000,34.531873,255
509525.495900,6944472.806000,34.569334,255
509525.900000,6944473.100000,34.612170,255
509487.242000,6944444.940000,28.300000,255
509487.102000,6944444.838000,28.113422,255
509487.102000,6944444.838000,28.465368,255
509525.900000,6944473.100000,32.866642,260
509525.495900,6944472.806000,32.866646,260
509525.091700,6944472.511000,32.866650,260
509524.687600,6944472.217000,32.866654,260
509524.283400,6944471.922000,32.870145,260
509523.879300,6944471.628000,32.853978,260
509523.475100,6944471.334000,32.835712,260
509523.125400,6944471.079000,32.800000,260
509523.071000,6944471.039000,32.795779,260
509522.666800,6944470.745000,32.738563,260
509522.262700,6944470.450000,32.681668,260
509521.858500,6944470.156000,32.632800,260
509521.454400,6944469.862000,32.508187,260
509521.092400,6944469.598000,32.300000,260
509521.050200,6944469.567000,32.289770,260
509520.646100,6944469.273000,32.263728,260
509520.242000,6944468.979000,32.194581,260
509519.837800,6944468.684000,32.071217,260
509519.433700,6944468.390000,32.008284,260
509519.029500,6944468.095000,31.910522,260
509518.625400,6944467.801000,31.800580,260
509518.623000,6944467.799000,31.800000,260
509518.221200,6944467.507000,31.711591,260
509517.817100,6944467.212000,31.625923,260
509517.412900,6944466.918000,31.560607,260
509517.008800,6944466.623000,31.494540,260
509516.604600,6944466.329000,31.428873,260
509516.200500,6944466.035000,31.409495,260
509515.796300,6944465.740000,31.399761,260
509515.392200,6944465.446000,31.390027,260
509514.988100,6944465.151000,31.422998,260
509514.583900,6944464.857000,31.495835,260
509514.179800,6944464.563000,31.568674,260
509513.775600,6944464.268000,31.688812,260
509513.610800,6944464.148000,31.800000,260
509513.371500,6944463.974000,31.982448,260
509512.967300,6944463.679000,32.285898,260
509512.952300,6944463.669000,32.300000,260
509512.967300,6944463.679000,32.331741,260
509513.176300,6944463.832000,32.800000,260
509513.371500,6944463.974000,33.256249,260
509513.388500,6944463.986000,33.300000,260
509513.681900,6944464.200000,33.800000,260
509513.775600,6944464.268000,33.950145,260
509514.179800,6944464.563000,34.251597,260
509514.286200,6944464.640000,34.300000,260
509514.583900,6944464.857000,34.429826,260
509514.988100,6944465.151000,34.608425,260
509515.392200,6944465.446000,34.689454,260
509515.796300,6944465.740000,34.689282,260
509516.200500,6944466.035000,34.689160,260
509516.604600,6944466.329000,34.685088,260
509517.008800,6944466.623000,34.661485,260
509517.412900,6944466.918000,34.637309,260
509517.817100,6944467.212000,34.612543,260
509518.221200,6944467.507000,34.568868,260
509518.625400,6944467.801000,34.521417,260
509519.029500,6944468.095000,34.473470,260
509519.433700,6944468.390000,34.430126,260
509519.837800,6944468.684000,34.391133,260
509520.242000,6944468.979000,34.353403,260
509520.646100,6944469.273000,34.332645,260
509521.050200,6944469.567000,34.359789,260
509521.454400,6944469.862000,34.385470,260
509521.858500,6944470.156000,34.410295,260
509522.262700,6944470.450000,34.516642,260
509522.666800,6944470.745000,34.629844,260
509523.071000,6944471.039000,34.758364,260
509523.235400,6944471.159000,34.800000,260
509523.475100,6944471.334000,34.846013,260
509523.879300,6944471.628000,34.919602,260
509524.283400,6944471.922000,35.006582,260
509524.687600,6944472.217000,35.064301,260
509525.091700,6944472.511000,35.063312,260
509525.495900,6944472.806000,35.062323,260
509525.900000,6944473.100000,35.061333,260
509487.506100,6944445.133000,28.998287,260
509487.910300,6944445.427000,28.977081,260
509488.314400,6944445.722000,28.956630,260
509488.718600,6944446.016000,28.940869,260
509489.122700,6944446.310000,28.926268,260
509489.526800,6944446.605000,28.910608,260
509489.931000,6944446.899000,28.900808,260
509490.335100,6944447.194000,28.935986,260
509490.739300,6944447.488000,28.992218,260
509491.143400,6944447.782000,29.068022,260
509491.478300,6944448.026000,29.300000,260
509491.547600,6944448.077000,29.334308,260
509491.951700,6944448.371000,29.496796,260
509492.355900,6944448.666000,29.701352,260
509492.475400,6944448.753000,29.800000,260
509492.760000,6944448.960000,29.911045,260
509493.164200,6944449.254000,29.967479,260
509493.568300,6944449.549000,30.018075,260
509493.972500,6944449.843000,30.045877,260
509494.376600,6944450.138000,30.036377,260
509494.780700,6944450.432000,30.027158,260
509495.184900,6944450.726000,30.011275,260
509495.589000,6944451.021000,29.895312,260
509495.708300,6944451.108000,29.800000,260
509495.589000,6944451.021000,29.575580,260
509495.449000,6944450.919000,29.300000,260
509495.184900,6944450.726000,28.878870,260
509495.078000,6944450.648000,28.800000,260
509494.780700,6944450.432000,28.753054,260
509494.376600,6944450.138000,28.702092,260
509493.972500,6944449.843000,28.700912,260
509493.568300,6944449.549000,28.657123,260
509493.164200,6944449.254000,28.635709,260
509492.760000,6944448.960000,28.620456,260
509492.355900,6944448.666000,28.612596,260
509491.951700,6944448.371000,28.630012,260
509491.547600,6944448.077000,28.647978,260
509491.143400,6944447.782000,28.666781,260
509490.739300,6944447.488000,28.676632,260
509490.335100,6944447.194000,28.687190,260
509489.931000,6944446.899000,28.690159,260
509489.526800,6944446.605000,28.640165,260
509489.122700,6944446.310000,28.557625,260
509488.718600,6944446.016000,28.452558,260
509488.431500,6944445.807000,28.300000,260
509488.314400,6944445.722000,28.260825,260
509487.910300,6944445.427000,28.075424,260
509487.589700,6944445.194000,27.800000,260
509487.506100,6944445.133000,27.772778,260
509487.102000,6944444.838000,27.675625,260
509487.102000,6944444.838000,29.020899,260
509501.651200,6944455.437000,29.632390,265
509501.247100,6944455.142000,29.676534,265
509500.842900,6944454.848000,29.722159,265
509500.438800,6944454.553000,29.773604,265
509500.258800,6944454.422000,29.800000,265
509500.438800,6944454.553000,29.947342,265
509500.774100,6944454.798000,30.300000,265
509500.842900,6944454.848000,30.316314,265
509501.247100,6944455.142000,30.400207,265
509501.651200,6944455.437000,30.477169,265
509502.055400,6944455.731000,30.511114,265
509502.459500,6944456.025000,30.514576,265
509502.863700,6944456.320000,30.518059,265
509503.267800,6944456.614000,30.490061,265
509503.672000,6944456.909000,30.380264,265
509503.920000,6944457.089000,30.300000,265
509504.076100,6944457.203000,29.850372,265
509504.091300,6944457.214000,29.800000,265
509504.076100,6944457.203000,29.796595,265
509503.672000,6944456.909000,29.725215,265
509503.267800,6944456.614000,29.656301,265
509502.863700,6944456.320000,29.633191,265
509502.459500,6944456.025000,29.625744,265
509502.055400,6944455.731000,29.618169,265
509525.900000,6944473.100000,32.638724,265
509525.495900,6944472.806000,32.629515,265
509525.091700,6944472.511000,32.618970,265
509524.687600,6944472.217000,32.606634,265
509524.283400,6944471.922000,32.571164,265
509523.879300,6944471.628000,32.542941,265
509523.475100,6944471.334000,32.516249,265
509523.071000,6944471.039000,32.468103,265
509522.666800,6944470.745000,32.352482,265
509522.452200,6944470.589000,32.300000,265
509522.262700,6944470.450000,32.278539,265
509521.858500,6944470.156000,32.250970,265
509521.454400,6944469.862000,32.184401,265
509521.050200,6944469.567000,32.090272,265
509520.646100,6944469.273000,32.040324,265
509520.242000,6944468.979000,31.956071,265
509519.837800,6944468.684000,31.851030,265
509519.606000,6944468.515000,31.800000,265
509519.433700,6944468.390000,31.764067,265
509519.029500,6944468.095000,31.677096,265
509518.625400,6944467.801000,31.585510,265
509518.221200,6944467.507000,31.493303,265
509517.817100,6944467.212000,31.404799,265
509517.412900,6944466.918000,31.336867,265
509517.196700,6944466.760000,31.300000,265
509517.008800,6944466.623000,31.279859,265
509516.604600,6944466.329000,31.238113,265
509516.200500,6944466.035000,31.223914,265
509515.796300,6944465.740000,31.215573,265
509515.392200,6944465.446000,31.207429,265
509514.988100,6944465.151000,31.220450,265
509514.583900,6944464.857000,31.251554,265
509514.179800,6944464.563000,31.280588,265
509514.026000,6944464.451000,31.300000,265
509513.775600,6944464.268000,31.363952,265
509513.371500,6944463.974000,31.576914,265
509513.069100,6944463.754000,31.800000,265
509512.967300,6944463.679000,31.870354,265
509512.563200,6944463.385000,32.221177,265
509512.519800,6944463.354000,32.300000,265
509512.563200,6944463.385000,32.394767,265
509512.771100,6944463.537000,32.800000,265
509512.967300,6944463.679000,33.205455,265
509513.011200,6944463.711000,33.300000,265
509513.296000,6944463.919000,33.800000,265
509513.371500,6944463.974000,33.929858,265
509513.600100,6944464.140000,34.300000,265
509513.578300,6944464.125000,34.800000,265
509513.601300,6944464.141000,35.300000,265
509514.420400,6944464.738000,35.300000,265
509514.583900,6944464.857000,35.129727,265
509514.988100,6944465.151000,35.211131,265
509515.392200,6944465.446000,35.221782,265
509515.796300,6944465.740000,35.188398,265
509516.200500,6944466.035000,35.172365,265
509516.604600,6944466.329000,35.154886,265
509517.008800,6944466.623000,35.130284,265
509517.412900,6944466.918000,35.105683,265
509517.817100,6944467.212000,35.081082,265
509518.221200,6944467.507000,35.043042,265
509518.625400,6944467.801000,35.003033,265
509519.029500,6944468.095000,34.962688,265
509519.433700,6944468.390000,34.929874,265
509519.837800,6944468.684000,34.903666,265
509520.242000,6944468.979000,34.877742,265
509520.646100,6944469.273000,34.868617,265
509521.050200,6944469.567000,34.910873,265
509521.454400,6944469.862000,34.952625,265
509521.858500,6944470.156000,34.994197,265
509522.262700,6944470.450000,35.106107,265
509522.666800,6944470.745000,35.228143,265
509522.939500,6944470.943000,35.300000,265
509523.071000,6944471.039000,35.386220,265
509523.475100,6944471.334000,35.549666,265
509523.879300,6944471.628000,35.612521,265
509524.283400,6944471.922000,35.629110,265
509524.687600,6944472.217000,35.604282,265
509525.091700,6944472.511000,35.489317,265
509525.495900,6944472.806000,35.457265,265
509525.900000,6944473.100000,35.425054,265
509487.506100,6944445.133000,29.403402,265
509487.910300,6944445.427000,29.386030,265
509488.314400,6944445.722000,29.368726,265
509488.718600,6944446.016000,29.368859,265
509489.122700,6944446.310000,29.377817,265
509489.526800,6944446.605000,29.386022,265
509489.931000,6944446.899000,29.433339,265
509490.335100,6944447.194000,29.535977,265
509490.739300,6944447.488000,29.644352,265
509491.132400,6944447.774000,29.800000,265
509491.143400,6944447.782000,29.803046,265
509491.547600,6944448.077000,29.924651,265
509491.951700,6944448.371000,30.047654,265
509492.355900,6944448.666000,30.201907,265
509492.725200,6944448.935000,30.300000,265
509492.760000,6944448.960000,30.307004,265
509493.164200,6944449.254000,30.377291,265
509493.568300,6944449.549000,30.447634,265
509493.972500,6944449.843000,30.485645,265
509494.376600,6944450.138000,30.483772,265
509494.780700,6944450.432000,30.481898,265
509495.184900,6944450.726000,30.472232,265
509495.589000,6944451.021000,30.413285,265
509495.993200,6944451.315000,30.344760,265
509496.331600,6944451.562000,30.300000,265
509496.397300,6944451.609000,30.274006,265
509496.801500,6944451.904000,30.085707,265
509497.205600,6944452.198000,29.927141,265
509497.609800,6944452.493000,29.804042,265
509497.618800,6944452.499000,29.800000,265
509497.609800,6944452.493000,29.797288,265
509497.205600,6944452.198000,29.681549,265
509496.801500,6944451.904000,29.408245,265
509496.676700,6944451.813000,29.300000,265
509496.397300,6944451.609000,29.202219,265
509496.010700,6944451.328000,28.800000,265
509495.993200,6944451.315000,28.794481,265
509495.589000,6944451.021000,28.750696,265
509495.184900,6944450.726000,28.601705,265
509494.780700,6944450.432000,28.525676,265
509494.376600,6944450.138000,28.453923,265
509493.972500,6944449.843000,28.388525,265
509493.568300,6944449.549000,28.320876,265
509493.376700,6944449.409000,28.300000,265
509493.164200,6944449.254000,28.280729,265
509492.760000,6944448.960000,28.245721,265
509492.355900,6944448.666000,28.220329,265
509491.951700,6944448.371000,28.219613,265
509491.547600,6944448.077000,28.217144,265
509491.143400,6944447.782000,28.213088,265
509490.739300,6944447.488000,28.178328,265
509490.335100,6944447.194000,28.145712,265
509489.931000,6944446.899000,28.120040,265
509489.526800,6944446.605000,28.025788,265
509489.148500,6944446.329000,27.800000,265
509489.122700,6944446.310000,27.793595,265
509488.718600,6944446.016000,27.751334,265
509488.314400,6944445.722000,27.713880,265
509487.910300,6944445.427000,27.647548,265
509487.506100,6944445.133000,27.536589,265
509487.102000,6944444.838000,27.459460,265
509487.102000,6944444.838000,29.420838,265
509515.796300,6944465.740000,35.300000,270
509516.200500,6944466.035000,35.800000,270
509525.885200,6944473.089000,35.800000,270
509525.900000,6944473.100000,35.797968,270
509525.900000,6944473.100000,32.414609,270
509525.495900,6944472.806000,32.396321,270
509525.091700,6944472.511000,32.374882,270
509524.687600,6944472.217000,32.349301,270
509524.364000,6944471.981000,32.300000,270
509524.283400,6944471.922000,32.293460,270
509523.879300,6944471.628000,32.273293,270
509523.475100,6944471.334000,32.252919,270
509523.071000,6944471.039000,32.219031,270
509522.666800,6944470.745000,32.153128,270
509522.262700,6944470.450000,32.099670,270
509521.858500,6944470.156000,32.055001,270
509521.454400,6944469.862000,31.978003,270
509521.050200,6944469.567000,31.890774,270
509520.646100,6944469.273000,31.816919,270
509520.573500,6944469.220000,31.800000,270
509520.242000,6944468.979000,31.731183,270
509519.837800,6944468.684000,31.643474,270
509519.433700,6944468.390000,31.555577,270
509519.029500,6944468.095000,31.464876,270
509518.625400,6944467.801000,31.370508,270
509518.325800,6944467.583000,31.300000,270
509518.221200,6944467.507000,31.283763,270
509517.817100,6944467.212000,31.225288,270
509517.412900,6944466.918000,31.182029,270
509517.008800,6944466.623000,31.139164,270
509516.604600,6944466.329000,31.097336,270
509516.200500,6944466.035000,31.082012,270
509515.796300,6944465.740000,31.072281,270
509515.392200,6944465.446000,31.062636,270
509514.988100,6944465.151000,31.071362,270
509514.583900,6944464.857000,31.096290,270
509514.179800,6944464.563000,31.119945,270
509513.775600,6944464.268000,31.161661,270
509513.371500,6944463.974000,31.229791,270
509513.029000,6944463.724000,31.300000,270
509512.967300,6944463.679000,31.337650,270
509512.563200,6944463.385000,31.597163,270
509512.409100,6944463.273000,31.800000,270
509512.169400,6944463.098000,32.300000,270
509512.408700,6944463.273000,32.800000,270
509512.563200,6944463.385000,33.131864,270
509512.649100,6944463.448000,33.300000,270
509512.916800,6944463.643000,33.800000,270
509512.967300,6944463.679000,33.889553,270
509513.202100,6944463.851000,34.300000,270
509513.146600,6944463.810000,34.800000,270
509513.156900,6944463.818000,35.300000,270
509487.506100,6944445.133000,29.732315,270
509487.910300,6944445.427000,29.728116,270
509488.314400,6944445.722000,29.723907,270
509488.718600,6944446.016000,29.750015,270
509489.122700,6944446.310000,29.796148,270
509489.163200,6944446.340000,29.800000,270
