Easting,Northing,Elevation,Chainage,Velocity,,,,,,,
512281.91,6940502.05,3.64,0,215,,,,,,,
512281.91,6940502.05,3.63,0,215,,,,,,,
512281.91,6940502.05,3.63,0,220,,,,,,,
512281.91,6940502.05,3.35,0,220,,,,,,,
512281.91,6940502.05,3.35,0,225,,,,,,,
512281.91,6940502.05,3.2,0,225,,,,,,,
512281.91,6940502.05,3.2,0,230,,,,,,,
512281.91,6940502.05,3.05,0,230,,,,,,,
512281.91,6940502.05,3.05,0,235,,,,,,,`
512281.91,6940502.05,3.05,0,235,,,,,,,
512281.91,6940502.05,2.9,0,235,,,,,,,
512281.91,6940502.05,2.9,0,240,,,,,,,
512281.91,6940502.05,2.75,0,240,,,,,,,
512281.91,6940502.05,2.75,0,245,,,,,,,
512281.91,6940502.05,2.58,0,245,,,,,,,
512281.91,6940502.05,2.58,0,250,,,,,,,
512281.91,6940502.05,2.35,0,250,,,,,,,
512281.91,6940502.05,2.35,0,255,,,,,,,
512281.91,6940502.05,1.72,0,250,,,,,,,
512281.91,6940502.05,1.72,0,255,,,,,,,
512281.91,6940502.05,1.51,0,245,,,,,,,
512281.91,6940502.05,1.51,0,250,,,,,,,
512281.91,6940502.05,1.35,0,240,,,,,,,
512281.91,6940502.05,1.35,0,245,,,,,,,
512281.91,6940502.05,1.23,0,235,,,,,,,
512281.91,6940502.05,1.23,0,240,,,,,,,
512281.91,6940502.05,1.11,0,230,,,,,,,
512281.91,6940502.05,1.11,0,235,,,,,,,
512281.91,6940502.05,1.11,0,235,,,,,,,
512281.91,6940502.05,1.01,0,225,,,,,,,
512281.91,6940502.05,1.01,0,230,,,,,,,
512281.91,6940502.05,0.92,0,220,,,,,,,
512281.91,6940502.05,0.92,0,225,,,,,,,
512281.91,6940502.05,0.82,0,215,,,,,,,
512281.91,6940502.05,0.82,0,220,,,,,,,
512281.91,6940502.05,0.73,0,210,,,,,,,
512281.91,6940502.05,0.73,0,215,,,,,,,
512281.91,6940502.05,0.65,0,205,,,,,,,
512281.91,6940502.05,0.65,0,210,,,,,,,
512281.91,6940502.05,0.65,0,210,,,,,,,
512281.91,6940502.05,0.57,0,200,,,,,,,
512281.91,6940502.05,0.57,0,205,,,,,,,
512281.91,6940502.05,0.48,0,195,,,,,,,
512281.91,6940502.05,0.48,0,200,,,,,,,
512281.91,6940502.05,0.4,0,190,,,,,,,
512281.91,6940502.05,0.4,0,195,,,,,,,
512281.91,6940502.05,0.32,0,185,,,,,,,
512281.91,6940502.05,0.32,0,190,,,,,,,
512281.91,6940502.05,0.24,0,180,,,,,,,
512281.91,6940502.05,0.24,0,185,,,,,,,
512281.91,6940502.05,0.24,0,185,,,,,,,
512281.91,6940502.05,0.16,0,175,,,,,,,
512281.91,6940502.05,0.16,0,180,,,,,,,
512281.91,6940502.05,0.07,0,170,,,,,,,
512281.91,6940502.05,0.07,0,175,,,,,,,
512281.91,6940502.05,-0.01,0,165,,,,,,,
512281.91,6940502.05,-0.01,0,170,,,,,,,
