Easting,Northing,Elevation,Chainage,Velocity,,,
512358.4402,6940436.966,7.27,8.21,140,,,
512358.6313,6940436.812,7.27,8.46,140,,,
512358.8147,6940436.663,7.27,8.69,140,,,
512359.0058,6940436.509,7.27,8.94,140,,,
512359.1893,6940436.36,7.28,9.17,140,,,
512359.3804,6940436.206,7.28,9.42,140,,,
512359.5638,6940436.057,7.29,9.66,140,,,
512359.7549,6940435.903,7.3,9.90,140,,,
512359.9384,6940435.754,7.31,10.14,140,,,
512360.1295,6940435.6,7.33,10.38,140,,,
512360.2977,6940435.463,7.34,10.60,140,,,
512357.7828,6940437.498,7.34,7.36,140,,,
512357.8745,6940437.424,7.32,7.48,140,,,
512358.0656,6940437.269,7.29,7.73,140,,,
512358.2491,6940437.121,7.27,7.96,140,,,
512352.1414,6940442.062,7.01,0.11,140,,,
512352.0573,6940442.13,7.01,0.00,140,,,
512352.0573,6940442.13,6.98,0.00,140,,,
512359.1893,6940436.36,7.16,9.17,145,,,
512359.3804,6940436.206,7.16,9.42,145,,,
512359.5638,6940436.057,7.16,9.66,145,,,
512359.7549,6940435.903,7.17,9.90,145,,,
512359.9384,6940435.754,7.17,10.14,145,,,
512360.1295,6940435.6,7.18,10.38,145,,,
512360.3206,6940435.445,7.19,10.63,145,,,
512360.5041,6940435.297,7.19,10.86,145,,,
512360.6952,6940435.142,7.2,11.11,145,,,
512360.8786,6940434.993,7.21,11.35,145,,,
512361.0697,6940434.839,7.23,11.59,145,,,
512361.2532,6940434.69,7.24,11.83,145,,,
512361.4443,6940434.536,7.25,12.07,145,,,
512361.6278,6940434.387,7.27,12.31,145,,,
512361.8189,6940434.233,7.29,12.56,145,,,
512362.01,6940434.078,7.31,12.80,145,,,
512362.1934,6940433.93,7.34,13.04,145,,,
512362.2087,6940433.917,7.34,13.06,145,,,
512360.2977,6940435.463,7.34,10.60,145,,,
512360.1295,6940435.6,7.33,10.38,145,,,
512359.9384,6940435.754,7.31,10.14,145,,,
512359.7549,6940435.903,7.3,9.90,145,,,
512359.5638,6940436.057,7.29,9.66,145,,,
512359.3804,6940436.206,7.28,9.42,145,,,
512359.1893,6940436.36,7.28,9.17,145,,,
512359.0058,6940436.509,7.27,8.94,145,,,
512358.8147,6940436.663,7.27,8.69,145,,,
512358.6313,6940436.812,7.27,8.46,145,,,
512358.4402,6940436.966,7.27,8.21,145,,,
512358.2491,6940437.121,7.27,7.96,145,,,
512358.0656,6940437.269,7.29,7.73,145,,,
512357.8745,6940437.424,7.32,7.48,145,,,
512357.7828,6940437.498,7.34,7.36,145,,,
512357.37,6940437.832,7.34,6.83,145,,,
512357.4999,6940437.727,7.29,7.00,145,,,
512357.691,6940437.572,7.24,7.25,145,,,
512357.8745,6940437.424,7.21,7.48,145,,,
512358.0656,6940437.269,7.18,7.73,145,,,
512358.2491,6940437.121,7.16,7.96,145,,,
512358.4402,6940436.966,7.16,8.21,145,,,
512358.6313,6940436.812,7.16,8.46,145,,,
512358.8147,6940436.663,7.16,8.69,145,,,
512359.0058,6940436.509,7.16,8.94,145,,,
512352.2484,6940441.975,6.94,0.25,145,,,
512352.4319,6940441.827,6.98,0.48,145,,,
512352.5618,6940441.722,7.01,0.65,145,,,
512352.1414,6940442.062,7.01,0.11,145,,,
512352.0573,6940442.13,6.98,0.00,145,,,
512352.0573,6940442.13,6.88,0.00,145,,,
512359.9384,6940435.754,7.03,10.14,150,,,
512360.1295,6940435.6,7.03,10.38,150,,,
512360.3206,6940435.445,7.03,10.63,150,,,
512360.5041,6940435.297,7.03,10.86,150,,,
512360.6952,6940435.142,7.04,11.11,150,,,
512360.8786,6940434.993,7.04,11.35,150,,,
512361.0697,6940434.839,7.04,11.59,150,,,
512361.2532,6940434.69,7.04,11.83,150,,,
512361.4443,6940434.536,7.04,12.07,150,,,
512361.6278,6940434.387,7.04,12.31,150,,,
512361.8189,6940434.233,7.05,12.56,150,,,
512362.01,6940434.078,7.05,12.80,150,,,
512362.1934,6940433.93,7.05,13.04,150,,,
512362.3845,6940433.775,7.06,13.28,150,,,
512362.568,6940433.627,7.06,13.52,150,,,
512362.7591,6940433.472,7.07,13.77,150,,,
512362.9426,6940433.324,7.07,14.00,150,,,
512363.1337,6940433.169,7.08,14.25,150,,,
512363.3171,6940433.021,7.09,14.48,150,,,
512363.5082,6940432.866,7.11,14.73,150,,,
512363.6993,6940432.712,7.08,14.97,150,,,
512363.8828,6940432.563,7.18,15.21,150,,,
512363.9974,6940432.47,7.34,15.36,150,,,
512362.2087,6940433.917,7.34,13.06,150,,,
512362.1934,6940433.93,7.34,13.04,150,,,
512362.01,6940434.078,7.31,12.80,150,,,
512361.8189,6940434.233,7.29,12.56,150,,,
