Easting,Northing,Elevation,Chainage,Velocity
512343.8795,6940441.812,4.36,0.24,70
512344.066,6940441.657,4.39,0.49,70
512344.2524,6940441.501,4.42,0.73,70
512344.2602,6940441.494,4.42,0.74,70
512344.2602,6940441.494,4.64,0.74,70
512344.2524,6940441.501,4.64,0.73,70
512344.066,6940441.657,4.68,0.49,70
512343.8795,6940441.812,4.72,0.24,70
512343.6931,6940441.968,4.79,0.00,70
512343.6931,6940441.968,4.33,0.00,70
512353.1234,6940434.09,4.64,12.29,70
512352.9836,6940434.207,4.65,12.11,70
512352.7894,6940434.369,4.64,11.85,70
512352.7661,6940434.388,4.64,11.82,70
512352.7894,6940434.369,4.63,11.85,70
512352.9836,6940434.207,4.61,12.11,70
512343.8795,6940441.812,4.11,0.24,75
512344.066,6940441.657,4.12,0.49,75
512344.2524,6940441.501,4.13,0.73,75
512344.4388,6940441.345,4.14,0.97,75
512344.6175,6940441.196,4.14,1.20,75
512344.8117,6940441.034,4.14,1.46,75
512344.9981,6940440.878,4.14,1.70,75
512345.1768,6940440.729,4.13,1.93,75
512345.3632,6940440.573,4.13,2.18,75
512345.5496,6940440.417,4.13,2.42,75
512345.7361,6940440.261,4.12,2.66,75
512345.9225,6940440.106,4.12,2.91,75
512346.1012,6940439.956,4.11,3.14,75
512346.2954,6940439.794,4.1,3.39,75
512346.4818,6940439.638,4.11,3.63,75
512346.6605,6940439.489,4.12,3.87,75
512346.8469,6940439.333,4.13,4.11,75
512347.0411,6940439.171,4.16,4.36,75
512347.2198,6940439.022,4.19,4.60,75
512347.2664,6940438.983,4.2,4.66,75
512347.4062,6940438.866,4.27,4.84,75
512347.5926,6940438.71,4.38,5.08,75
512347.647,6940438.665,4.42,5.15,75
512347.5926,6940438.71,4.45,5.08,75
512347.4062,6940438.866,4.54,4.84,75
512347.2198,6940439.022,4.63,4.60,75
512347.1965,6940439.041,4.64,4.57,75
512347.0411,6940439.171,4.66,4.36,75
512346.8469,6940439.333,4.69,4.11,75
512346.6605,6940439.489,4.71,3.87,75
512346.4818,6940439.638,4.73,3.63,75
512346.2954,6940439.794,4.75,3.39,75
512346.1012,6940439.956,4.76,3.14,75
512345.9225,6940440.106,4.76,2.91,75
512345.7361,6940440.261,4.77,2.66,75
512345.5496,6940440.417,4.79,2.42,75
512345.3632,6940440.573,4.8,2.18,75
512345.1768,6940440.729,4.82,1.93,75
512344.9981,6940440.878,4.84,1.70,75
512344.8661,6940440.988,4.86,1.53,75
512344.8117,6940441.034,4.86,1.46,75
512344.6175,6940441.196,4.88,1.20,75
512344.4388,6940441.345,4.9,0.97,75
512344.2524,6940441.501,4.92,0.73,75
512344.066,6940441.657,4.94,0.49,75
512343.8795,6940441.812,4.97,0.24,75
512343.6931,6940441.968,5.01,0.00,75
512343.6931,6940441.968,4.79,0.00,75
512343.8795,6940441.812,4.72,0.24,75
512344.066,6940441.657,4.68,0.49,75
512344.2524,6940441.501,4.64,0.73,75
512344.2602,6940441.494,4.64,0.74,75
512344.2602,6940441.494,4.42,0.74,75
512344.2524,6940441.501,4.42,0.73,75
512344.066,6940441.657,4.39,0.49,75
512343.8795,6940441.812,4.36,0.24,75
512343.6931,6940441.968,4.33,0.00,75
512343.6931,6940441.968,4.1,0.00,75
512352.9836,6940434.207,4.27,12.11,75
512353.1623,6940434.057,4.28,12.34,75
512353.3487,6940433.902,4.3,12.58,75
512353.5274,6940433.752,4.31,12.81,75
512353.7216,6940433.59,4.33,13.07,75
512353.908,6940433.434,4.34,13.31,75
512354.0867,6940433.285,4.36,13.54,75
512354.2731,6940433.129,4.38,13.79,75
512354.4673,6940432.967,4.39,14.04,75
512354.6459,6940432.818,4.41,14.27,75
512354.7469,6940432.733,4.42,14.40,75
512354.8324,6940432.662,4.43,14.51,75
512355.0188,6940432.506,4.47,14.76,75
512355.2052,6940432.351,4.48,15.00,75
512355.3917,6940432.195,4.52,15.24,75
512355.5781,6940432.039,4.55,15.49,75
512355.7645,6940431.883,4.6,15.73,75
512355.9199,6940431.754,4.64,15.93,75
512355.8034,6940431.851,4.86,15.78,75
512355.7645,6940431.883,4.86,15.73,75
512355.5781,6940432.039,4.88,15.49,75
512355.3917,6940432.195,4.88,15.24,75
512355.2052,6940432.351,4.89,15.00,75
512355.0188,6940432.506,4.88,14.76,75
512354.8324,6940432.662,4.89,14.51,75
512354.6459,6940432.818,4.89,14.27,75
512354.4673,6940432.967,4.9,14.04,75
512354.2731,6940433.129,4.9,13.79,75
512354.0867,6940433.285,4.91,13.54,75
512353.908,6940433.434,4.91,13.31,75
512353.7216,6940433.59,4.91,13.07,75
512353.5274,6940433.752,4.92,12.81,75
512353.3487,6940433.902,4.92,12.58,75
512353.1623,6940434.057,4.92,12.34,75
512352.9836,6940434.207,4.92,12.11,75
512352.7894,6940434.369,4.92,11.85,75
512352.603,6940434.525,4.91,11.61,75
512352.4243,6940434.674,4.89,11.38,75
512352.2379,6940434.83,4.87,11.13,75
512352.1757,6940434.881,4.86,11.05,75
512352.0437,6940434.992,4.79,10.88,75
512351.865,6940435.141,4.73,10.65,75
512351.6786,6940435.297,4.66,10.41,75
512351.6242,6940435.342,4.64,10.33,75
512351.6786,6940435.297,4.56,10.41,75
512351.7873,6940435.206,4.42,10.55,75
512351.865,6940435.141,4.4,10.65,75
512352.0437,6940434.992,4.36,10.88,75
512352.2379,6940434.83,4.31,11.13,75
512352.4243,6940434.674,4.29,11.38,75
512352.603,6940434.525,4.27,11.61,75
512352.7894,6940434.369,4.27,11.85,75
512352.7894,6940434.369,4.63,11.85,75
512352.7661,6940434.388,4.64,11.82,75
512352.7894,6940434.369,4.64,11.85,75
512352.9836,6940434.207,4.65,12.11,75
512353.1234,6940434.09,4.64,12.29,75
512352.9836,6940434.207,4.61,12.11,75
512346.4818,6940439.638,3.92,3.63,80
512346.6605,6940439.489,3.93,3.87,80
512346.8469,6940439.333,3.93,4.11,80
512347.0411,6940439.171,3.95,4.36,80
512347.2198,6940439.022,3.96,4.60,80
512347.4062,6940438.866,3.98,4.84,80
512347.4217,6940438.853,3.98,4.86,80
512347.5926,6940438.71,4,5.08,80
512347.7791,6940438.555,4.03,5.32,80
512347.9655,6940438.399,4.07,5.57,80
512348.1519,6940438.243,4.11,5.81,80
512348.3306,6940438.094,4.15,6.04,80
512348.5248,6940437.932,4.19,6.30,80
512348.5481,6940437.912,4.2,6.33,80
512348.7112,6940437.776,4.32,6.54,80
512348.82,6940437.685,4.42,6.68,80
512348.7112,6940437.776,4.51,6.54,80
512348.5248,6940437.932,4.64,6.30,80
512348.3306,6940438.094,4.68,6.04,80
512348.1519,6940438.243,4.71,5.81,80
512347.9655,6940438.399,4.74,5.57,80
512347.7791,6940438.555,4.77,5.32,80
512347.5926,6940438.71,4.8,5.08,80
512347.4062,6940438.866,4.82,4.84,80
512347.2198,6940439.022,4.85,4.60,80
512347.1188,6940439.106,4.86,4.46,80
512347.0411,6940439.171,4.86,4.36,80
512346.8469,6940439.333,4.88,4.11,80
512346.6605,6940439.489,4.89,3.87,80
512346.4818,6940439.638,4.9,3.63,80
512346.2954,6940439.794,4.91,3.39,80
512346.1012,6940439.956,4.93,3.14,80
512345.9225,6940440.106,4.93,2.91,80
512345.7361,6940440.261,4.94,2.66,80
512345.5496,6940440.417,4.96,2.42,80
512345.3632,6940440.573,4.97,2.18,80
512345.1768,6940440.729,4.98,1.93,80
512344.9981,6940440.878,5,1.70,80
512344.8117,6940441.034,5.02,1.46,80
512344.6175,6940441.196,5.04,1.20,80
512344.4388,6940441.345,5.06,0.97,80
512344.2835,6940441.475,5.08,0.77,80
512344.2524,6940441.501,5.08,0.73,80
512344.066,6940441.657,5.1,0.49,80
512343.8795,6940441.812,5.12,0.24,80
512343.6931,6940441.968,5.15,0.00,80
512343.6931,6940441.968,5.01,0.00,80
512343.8795,6940441.812,4.97,0.24,80
512344.066,6940441.657,4.94,0.49,80
512344.2524,6940441.501,4.92,0.73,80
512344.4388,6940441.345,4.9,0.97,80
512344.6175,6940441.196,4.88,1.20,80
512344.8117,6940441.034,4.86,1.46,80
512344.8661,6940440.988,4.86,1.53,80
512344.9981,6940440.878,4.84,1.70,80
512345.1768,6940440.729,4.82,1.93,80
512345.3632,6940440.573,4.8,2.18,80
512345.5496,6940440.417,4.79,2.42,80
512345.7361,6940440.261,4.77,2.66,80
512345.9225,6940440.106,4.76,2.91,80
512346.1012,6940439.956,4.76,3.14,80
512346.2954,6940439.794,4.75,3.39,80
512346.4818,6940439.638,4.73,3.63,80
512346.6605,6940439.489,4.71,3.87,80
512346.8469,6940439.333,4.69,4.11,80
512347.0411,6940439.171,4.66,4.36,80
512347.1965,6940439.041,4.64,4.57,80
512347.2198,6940439.022,4.63,4.60,80
512347.4062,6940438.866,4.54,4.84,80
512347.5926,6940438.71,4.45,5.08,80
512347.647,6940438.665,4.42,5.15,80
512347.5926,6940438.71,4.38,5.08,80
512347.4062,6940438.866,4.27,4.84,80
512347.2664,6940438.983,4.2,4.66,80
512347.2198,6940439.022,4.19,4.60,80
512347.0411,6940439.171,4.16,4.36,80
512346.8469,6940439.333,4.13,4.11,80
512346.6605,6940439.489,4.12,3.87,80
512346.4818,6940439.638,4.11,3.63,80
512346.2954,6940439.794,4.1,3.39,80
512346.1012,6940439.956,4.11,3.14,80
512345.9225,6940440.106,4.12,2.91,80
512345.7361,6940440.261,4.12,2.66,80
512345.5496,6940440.417,4.13,2.42,80
512345.3632,6940440.573,4.13,2.18,80
512345.1768,6940440.729,4.13,1.93,80
512344.9981,6940440.878,4.14,1.70,80
512344.8117,6940441.034,4.14,1.46,80
512344.6175,6940441.196,4.14,1.20,80
512344.4388,6940441.345,4.14,0.97,80
512344.2524,6940441.501,4.13,0.73,80
512344.066,6940441.657,4.12,0.49,80
512343.8795,6940441.812,4.11,0.24,80
512343.6931,6940441.968,4.1,0.00,80
512343.6931,6940441.968,3.94,0.00,80
