Easting,Northing,Elevation,Chainage,Velocity
512884.33,6939673.65,13.37,63.21,175
512884.57,6939673.28,13.4,63.65,175
512884.81,6939672.92,13.42,64.09,175
512885.05,6939672.55,13.44,64.52,175
512885.29,6939672.19,13.47,64.96,175
512885.31,6939672.16,13.47,64.99,175
512883.61,6939674.74,13.47,61.91,175
512883.57,6939674.8,13.41,61.83,175
512883.61,6939674.74,13.41,61.91,175
512883.85,6939674.37,13.39,62.34,175
512884.09,6939674.01,13.38,62.78,175
512885.29,6939672.19,13.47,64.96,180
512885.05,6939672.55,13.44,64.52,180
512884.81,6939672.92,13.42,64.09,180
512884.57,6939673.28,13.4,63.65,180
512884.33,6939673.65,13.37,63.21,180
512884.09,6939674.01,13.38,62.78,180
512883.85,6939674.37,13.39,62.34,180
512883.61,6939674.74,13.41,61.91,180
512883.57,6939674.8,13.41,61.83,180
512883.61,6939674.74,13.47,61.91,180
512883.43,6939675.01,13.21,61.58,180
512883.61,6939674.74,13.2,61.91,180
512883.85,6939674.37,13.19,62.34,180
512884.09,6939674.01,13.18,62.78,180
512884.33,6939673.65,13.16,63.21,180
512884.57,6939673.28,13.18,63.65,180
512884.81,6939672.92,13.19,64.09,180
512885.05,6939672.55,13.19,64.52,180
512885.29,6939672.19,13.2,64.96,180
512885.53,6939671.83,13.2,65.39,180
512885.77,6939671.46,13.21,65.83,180
512886.01,6939671.1,13.23,66.27,180
512886.25,6939670.74,13.26,66.7,180
512886.49,6939670.37,13.3,67.14,180
512886.73,6939670.01,13.33,67.57,180
512886.97,6939669.64,13.36,68.01,180
512887.21,6939669.28,13.39,68.45,180
512887.45,6939668.92,13.42,68.88,180
512887.69,6939668.55,13.44,69.32,180
512887.93,6939668.19,13.46,69.75,180
512888,6939668.09,13.47,69.87,180
512885.31,6939672.16,13.47,64.99,180
512871.84,6939692.56,13.05,40.54,180
512872.08,6939692.2,13.06,40.98,180
512872.32,6939691.84,13.09,41.42,180
512872.56,6939691.47,13.11,41.85,180
512872.59,6939691.43,13.12,41.91,180
512872.56,6939691.47,13.12,41.85,180
512871.36,6939693.29,13.12,39.67,180
512871.36,6939693.29,13.12,39.67,180
512871.32,6939693.36,13.06,39.6,180
512871.36,6939693.29,13.05,39.67,180
512871.6,6939692.93,13.04,40.11,180
512881.55,6939677.85,13.12,58.17,185
512881.69,6939677.65,13.11,58.42,185
512881.93,6939677.28,13.1,58.85,185
512882.17,6939676.92,13.09,59.29,185
512882.41,6939676.56,13.09,59.73,185
512882.65,6939676.19,13.08,60.16,185
512882.89,6939675.83,13.07,60.6,185
512883.13,6939675.47,13.07,61.03,185
512883.37,6939675.1,13.06,61.47,185
512883.61,6939674.74,13.05,61.91,185
512883.85,6939674.37,13.05,62.34,185
512884.09,6939674.01,13.04,62.78,185
512884.33,6939673.65,13.03,63.21,185
512884.57,6939673.28,13.04,63.65,185
512884.81,6939672.92,13.04,64.09,185
512885.05,6939672.55,13.03,64.52,185
512885.29,6939672.19,13.03,64.96,185
512885.53,6939671.83,13.02,65.39,185
512885.77,6939671.46,13.01,65.83,185
512886.01,6939671.1,13.02,66.27,185
512886.25,6939670.74,13.03,66.7,185
512886.49,6939670.37,13.06,67.14,185
512886.73,6939670.01,13.08,67.57,185
512886.97,6939669.64,13.1,68.01,185
512887.19,6939669.32,13.12,68.4,185
512887.21,6939669.28,13.12,68.45,185
512887.45,6939668.92,13.16,68.88,185
512887.69,6939668.55,13.2,69.32,185
512887.93,6939668.19,13.24,69.75,185
512888.17,6939667.83,13.27,70.19,185
512888.41,6939667.46,13.3,70.63,185
512888.65,6939667.1,13.33,71.06,185
512888.89,6939666.73,13.35,71.5,185
512889.13,6939666.37,13.38,71.93,185
512889.37,6939666.01,13.4,72.37,185
512889.61,6939665.64,13.42,72.81,185
512889.85,6939665.28,13.45,73.24,185
512890.09,6939664.91,13.46,73.68,185
512890.28,6939664.63,13.47,74.02,185
512888,6939668.09,13.47,69.87,185
512887.93,6939668.19,13.46,69.75,185
512887.69,6939668.55,13.44,69.32,185
512887.45,6939668.92,13.42,68.88,185
512887.21,6939669.28,13.39,68.45,185
512886.97,6939669.64,13.36,68.01,185
512886.73,6939670.01,13.33,67.57,185
512886.49,6939670.37,13.3,67.14,185
512886.25,6939670.74,13.26,66.7,185
512886.01,6939671.1,13.23,66.27,185
512885.77,6939671.46,13.21,65.83,185
512885.53,6939671.83,13.2,65.39,185
512885.29,6939672.19,13.2,64.96,185
512885.05,6939672.55,13.19,64.52,185
512884.81,6939672.92,13.19,64.09,185
512884.57,6939673.28,13.18,63.65,185
512884.33,6939673.65,13.16,63.21,185
512884.09,6939674.01,13.18,62.78,185
512883.85,6939674.37,13.19,62.34,185
512883.61,6939674.74,13.2,61.91,185
512883.43,6939675.01,13.21,61.58,185
512883.45,6939674.98,13.24,61.62,185
512883.37,6939675.1,13.12,61.47,185
512892.5,6939661.28,13.43,78.04,185
512892.74,6939660.91,13.44,78.47,185
512892.98,6939660.55,13.46,78.91,185
512893.03,6939660.47,13.47,79.01,185
512891.07,6939663.43,13.47,75.45,185
512891.29,6939663.1,13.47,75.86,185
512891.54,6939662.73,13.46,76.29,185
512891.78,6939662.37,13.45,76.73,185
512892.02,6939662,13.44,77.16,185
512892.26,6939661.64,13.43,77.6,185
512871.36,6939693.29,12.86,39.67,185
512871.6,6939692.93,12.85,40.11,185
512871.84,6939692.56,12.86,40.54,185
512872.08,6939692.2,12.87,40.98,185
512872.32,6939691.84,12.9,41.42,185
512872.56,6939691.47,12.93,41.85,185
512872.8,6939691.11,12.96,42.29,185
512873.04,6939690.75,12.99,42.72,185
512873.28,6939690.38,13.03,43.16,185
512873.52,6939690.02,13.07,43.6,185
512873.76,6939689.65,13.11,44.03,185
512873.8,6939689.59,13.12,44.11,185
512872.59,6939691.43,13.12,41.91,185
512872.56,6939691.47,13.11,41.85,185
512872.32,6939691.84,13.09,41.42,185
512872.08,6939692.2,13.06,40.98,185
512871.84,6939692.56,13.05,40.54,185
512871.6,6939692.93,13.04,40.11,185
512871.36,6939693.29,13.05,39.67,185
512871.32,6939693.36,13.06,39.6,185
512871.19,6939693.55,12.87,39.37,185
512897.3,6939654,13.75,86.76,190
512897.3,6939654,13.82,86.76,190
512897.19,6939654.16,13.67,86.56,190
512886.25,6939670.74,12.88,66.7,190
512886.49,6939670.37,12.9,67.14,190
512886.73,6939670.01,12.93,67.57,190
512886.97,6939669.64,12.96,68.01,190
512887.21,6939669.28,12.99,68.45,190
512887.45,6939668.92,13.02,68.88,190
512887.69,6939668.55,13.04,69.32,190
512887.93,6939668.19,13.06,69.75,190
512888.17,6939667.83,13.09,70.19,190
512888.41,6939667.46,13.11,70.63,190
512888.55,6939667.25,13.12,70.88,190
512888.65,6939667.1,13.13,71.06,190
512888.89,6939666.73,13.17,71.5,190
512889.13,6939666.37,13.2,71.93,190
512889.37,6939666.01,13.23,72.37,190
512889.61,6939665.64,13.26,72.81,190
512889.85,6939665.28,13.29,73.24,190
512890.09,6939664.91,13.31,73.68,190
512890.33,6939664.55,13.32,74.11,190
512890.57,6939664.19,13.33,74.55,190
512890.81,6939663.82,13.32,74.99,190
512891.05,6939663.46,13.32,75.42,190
512891.29,6939663.1,13.31,75.86,190
512891.54,6939662.73,13.3,76.29,190
512891.78,6939662.37,13.29,76.73,190
512892.02,6939662,13.27,77.16,190
512892.26,6939661.64,13.26,77.6,190
512892.5,6939661.28,13.26,78.04,190
512892.74,6939660.91,13.26,78.47,190
512892.98,6939660.55,13.27,78.91,190
512893.22,6939660.18,13.29,79.34,190
512893.46,6939659.82,13.32,79.78,190
512893.7,6939659.46,13.35,80.22,190
512893.94,6939659.09,13.4,80.65,190
512894.18,6939658.73,13.45,81.09,190
512894.3,6939658.54,13.47,81.31,190
512893.03,6939660.47,13.47,79.01,190
512892.98,6939660.55,13.46,78.91,190
512892.74,6939660.91,13.44,78.47,190
512892.5,6939661.28,13.43,78.04,190
512892.26,6939661.64,13.43,77.6,190
512892.02,6939662,13.44,77.16,190
512891.78,6939662.37,13.45,76.73,190
512891.54,6939662.73,13.46,76.29,190
512891.29,6939663.1,13.47,75.86,190
512891.07,6939663.43,13.47,75.45,190
512890.28,6939664.63,13.47,74.02,190
512890.09,6939664.91,13.46,73.68,190
512889.85,6939665.28,13.45,73.24,190
512889.61,6939665.64,13.42,72.81,190
512889.37,6939666.01,13.4,72.37,190
512889.13,6939666.37,13.38,71.93,190
512888.89,6939666.73,13.35,71.5,190
512888.65,6939667.1,13.33,71.06,190
512888.41,6939667.46,13.3,70.63,190
512888.17,6939667.83,13.27,70.19,190
512887.93,6939668.19,13.24,69.75,190
512887.69,6939668.55,13.2,69.32,190
512887.45,6939668.92,13.16,68.88,190
512887.21,6939669.28,13.12,68.45,190
512887.19,6939669.32,13.12,68.4,190
512886.97,6939669.64,13.1,68.01,190
512886.73,6939670.01,13.08,67.57,190
512886.49,6939670.37,13.06,67.14,190
512886.25,6939670.74,13.03,66.7,190
512886.01,6939671.1,13.02,66.27,190
512885.77,6939671.46,13.01,65.83,190
512885.53,6939671.83,13.02,65.39,190
512885.29,6939672.19,13.03,64.96,190
512885.05,6939672.55,13.03,64.52,190
512884.81,6939672.92,13.04,64.09,190
512884.57,6939673.28,13.04,63.65,190
512884.33,6939673.65,13.03,63.21,190
512884.09,6939674.01,13.04,62.78,190
512883.85,6939674.37,13.05,62.34,190
512883.61,6939674.74,13.05,61.91,190
512883.37,6939675.1,13.06,61.47,190
512883.13,6939675.47,13.07,61.03,190
512882.89,6939675.83,13.07,60.6,190
512882.65,6939676.19,13.08,60.16,190
512882.41,6939676.56,13.09,59.73,190
512882.17,6939676.92,13.09,59.29,190
512881.93,6939677.28,13.1,58.85,190
512881.69,6939677.65,13.11,58.42,190
512881.55,6939677.85,13.12,58.17,190
512878.23,6939682.88,13.12,52.15,190
