Easting,Northing,"""y""",x,"""z"""
515615.3,6937320.0,8.57,0.0,195.0
515615.3,6937320.0,8.41,0.0,195.0
515615.3,6937320.0,8.84,0.0,200.0
515615.3,6937320.0,8.07,0.0,200.0
515615.3,6937320.0,9.03,0.0,205.0
515615.3,6937320.0,7.9,0.0,205.0
515615.3,6937320.0,9.12,0.0,210.0
515615.3,6937320.0,7.77,0.0,210.0
515615.3,6937320.0,9.21,0.0,215.0
515615.3,6937320.0,7.65,0.0,215.0
515615.3,6937320.0,9.29,0.0,220.0
515615.3,6937320.0,7.52,0.0,220.0
515615.3,6937320.0,9.38,0.0,225.0
515615.3,6937320.0,7.43,0.0,225.0
515615.3,6937320.0,9.47,0.0,230.0
515615.3,6937320.0,7.34,0.0,230.0
515615.3,6937320.0,9.54,0.0,235.0
515615.3,6937320.0,7.25,0.0,235.0
515615.3,6937320.0,9.6,0.0,240.0
515615.3,6937320.0,7.16,0.0,240.0
515615.3,6937320.0,9.66,0.0,245.0
515615.3,6937320.0,7.07,0.0,245.0
515615.3,6937320.0,9.72,0.0,250.0
515615.3,6937320.0,6.98,0.0,250.0
515615.3,6937320.0,9.78,0.0,255.0
515615.3,6937320.0,6.9,0.0,255.0
515615.3,6937320.0,9.84,0.0,260.0
515615.3,6937320.0,6.82,0.0,260.0
515615.3,6937320.0,9.89,0.0,265.0
515615.3,6937320.0,6.74,0.0,265.0
515615.3,6937320.0,9.95,0.0,270.0
515615.3,6937320.0,6.65,0.0,270.0
515615.3,6937320.0,10.01,0.0,275.0
515615.3,6937320.0,6.57,0.0,275.0
515615.3,6937320.0,10.07,0.0,280.0
515615.3,6937320.0,6.49,0.0,280.0
515615.3,6937320.0,10.13,0.0,285.0
515615.3,6937320.0,6.4,0.0,285.0
515615.3,6937320.0,10.18,0.0,290.0
515615.3,6937320.0,6.32,0.0,290.0
515615.3,6937320.0,10.24,0.0,295.0
515615.3,6937320.0,6.24,0.0,295.0
515615.3,6937320.0,10.3,0.0,300.0
515615.3,6937320.0,6.15,0.0,300.0
515615.3,6937320.0,10.36,0.0,305.0
515615.3,6937320.0,6.07,0.0,305.0
515615.3,6937320.0,10.41,0.0,310.0
515615.3,6937320.0,5.98,0.0,310.0
515615.3,6937320.0,10.47,0.0,315.0
515615.3,6937320.0,5.89,0.0,315.0
515615.3,6937320.0,10.54,0.0,320.0
515615.3,6937320.0,5.79,0.0,320.0
515615.3,6937320.0,10.63,0.0,325.0
515615.3,6937320.0,5.7,0.0,325.0
515615.3,6937320.0,10.71,0.0,330.0
515615.3,6937320.0,5.61,0.0,330.0
515615.3,6937320.0,10.8,0.0,335.0
515615.3,6937320.0,5.52,0.0,335.0
515615.3,6937320.0,10.89,0.0,340.0
515615.3,6937320.0,5.42,0.0,340.0
515615.3,6937320.0,5.31,0.0,345.0
515615.3,6937320.0,11.98,0.0,345.0
515615.3,6937320.0,10.97,0.0,345.0
515615.3,6937320.0,5.21,0.0,350.0
515615.3,6937320.0,11.57,0.0,350.0
515615.3,6937320.0,11.4,0.0,350.0
515615.3,6937320.0,5.11,0.0,355.0
515615.3,6937320.0,5.0,0.0,360.0
515615.3,6937320.0,4.89,0.0,365.0
515615.3,6937320.0,4.78,0.0,370.0
515615.3,6937320.0,4.67,0.0,375.0
515615.3,6937320.0,4.56,0.0,380.0
515615.3,6937320.0,4.44,0.0,385.0
515615.3,6937320.0,4.32,0.0,390.0
515615.3,6937320.0,4.2,0.0,395.0
515615.3,6937320.0,4.09,0.0,400.0
515615.3,6937320.0,3.97,0.0,405.0
515615.3,6937320.0,3.85,0.0,410.0
515615.3,6937320.0,3.73,0.0,415.0
515615.3,6937320.0,3.61,0.0,420.0
515615.3,6937320.0,3.49,0.0,425.0
515615.3,6937320.0,3.36,0.0,430.0
515615.3,6937320.0,3.24,0.0,435.0
515615.3,6937320.0,3.12,0.0,440.0
515615.3,6937320.0,3.0,0.0,445.0
515615.3,6937320.0,2.88,0.0,450.0
515615.3,6937320.0,2.76,0.0,455.0
515615.3,6937320.0,2.64,0.0,460.0
515615.3,6937320.0,2.52,0.0,465.0
515615.3,6937320.0,2.4,0.0,470.0
515615.3,6937320.0,2.28,0.0,475.0
515615.3,6937320.0,2.16,0.0,480.0
515615.3,6937320.0,2.04,0.0,485.0
515615.3,6937320.0,1.91,0.0,490.0
515615.3,6937320.0,1.78,0.0,495.0
515615.3,6937320.0,1.65,0.0,500.0
515615.3,6937320.0,1.52,0.0,505.0
515615.3,6937320.0,1.39,0.0,510.0
515615.3,6937320.0,1.25,0.0,515.0
515615.3,6937320.0,1.11,0.0,520.0
515615.3,6937320.0,0.97,0.0,525.0
515615.3,6937320.0,0.82,0.0,530.0
515615.3,6937320.0,0.66,0.0,535.0
515615.3,6937320.0,0.51,0.0,540.0
515615.3,6937320.0,0.32,0.0,545.0
515615.3,6937320.0,0.13,0.0,550.0
515615.3,6937320.0,-0.08,0.0,555.0
515615.3,6937320.0,-0.33,0.0,560.0
515615.3,6937320.0,-0.6,0.0,565.0
515615.3,6937320.0,-0.88,0.0,570.0
515615.3,6937320.0,-1.17,0.0,575.0
515615.3,6937320.0,-1.46,0.0,580.0
515615.3,6937320.0,-1.74,0.0,585.0
515615.3,6937320.0,-2.03,0.0,590.0
515615.3,6937320.0,-2.28,0.0,595.0
515615.3,6937320.0,-2.53,0.0,600.0
515615.3,6937320.0,-2.75,0.0,605.0
515615.3,6937320.0,-2.98,0.0,610.0
515615.3,6937320.0,-3.18,0.0,615.0
515615.3,6937320.0,-3.37,0.0,620.0
515615.3,6937320.0,-3.57,0.0,625.0
515615.3,6937320.0,-3.76,0.0,630.0
515615.3,6937320.0,-3.96,0.0,635.0
515615.3,6937320.0,-4.12,0.0,640.0
515615.3,6937320.0,-4.28,0.0,645.0
515615.3,6937320.0,-4.43,0.0,650.0
515615.3,6937320.0,-4.57,0.0,655.0
515615.3,6937320.0,-4.69,0.0,660.0
515615.3,6937320.0,-4.81,0.0,665.0
515615.3,6937320.0,-4.93,0.0,670.0
515615.3,6937320.0,-5.04,0.0,675.0
515615.3,6937320.0,-5.14,0.0,680.0
515615.3,6937320.0,-5.23,0.0,685.0
515615.3,6937320.0,-5.33,0.0,690.0
515615.3,6937320.0,-5.43,0.0,695.0
515615.3,6937320.0,-5.52,0.0,700.0
515615.3,6937320.0,-5.61,0.0,705.0
515615.3,6937320.0,-5.69,0.0,710.0
515615.3,6937320.0,-5.78,0.0,715.0
515615.3,6937320.0,-5.86,0.0,720.0
515615.3,6937320.0,-5.95,0.0,725.0
515615.3,6937320.0,-6.03,0.0,730.0
515615.3,6937320.0,-6.11,0.0,735.0
515615.3,6937320.0,-6.18,0.0,740.0
515615.3,6937320.0,-6.26,0.0,745.0
515615.3,6937320.0,-6.34,0.0,750.0
515615.3,6937320.0,-6.41,0.0,755.0
515615.3,6937320.0,-6.49,0.0,760.0
515615.3,6937320.0,-6.56,0.0,765.0
515615.3,6937320.0,-6.63,0.0,770.0
515615.3,6937320.0,-6.71,0.0,775.0
515615.3,6937320.0,-6.78,0.0,780.0
515615.3,6937320.0,-6.85,0.0,785.0
515615.3,6937320.0,-6.92,0.0,790.0
515615.3,6937320.0,-6.99,0.0,795.0
515615.3,6937320.0,-7.06,0.0,800.0
515615.3,6937320.0,-7.13,0.0,805.0
515615.3,6937320.0,-7.21,0.0,810.0
515615.3,6937320.0,-7.28,0.0,815.0
515615.3,6937320.0,-7.35,0.0,820.0
515615.3,6937320.0,-7.42,0.0,825.0
515615.3,6937320.0,-7.49,0.0,830.0
515615.3,6937320.0,-7.56,0.0,835.0
515615.3,6937320.0,-7.63,0.0,840.0
515615.3,6937320.0,-7.71,0.0,845.0
515615.3,6937320.0,-7.78,0.0,850.0
515615.3,6937320.0,-7.86,0.0,855.0
515615.3,6937320.0,-7.93,0.0,860.0
515615.3,6937320.0,-8.01,0.0,865.0
515615.3,6937320.0,-8.14,0.0,870.0
515615.3,6937320.0,-8.27,0.0,875.0
515615.3,6937320.0,-8.41,0.0,880.0
515615.3,6937320.0,-5.33,0.0,690.0
515615.3,6937320.0,-5.43,0.0,690.0
515615.3,6937320.0,-5.43,0.0,695.0
515615.3,6937320.0,-5.52,0.0,695.0
515615.3,6937320.0,-5.52,0.0,700.0
515615.3,6937320.0,-5.61,0.0,700.0
515615.3,6937320.0,-5.69,0.0,710.0
515615.3,6937320.0,-5.78,0.0,710.0
515615.3,6937320.0,-5.78,0.0,715.0
515615.3,6937320.0,-5.86,0.0,715.0
515615.3,6937320.0,-5.86,0.0,720.0
515615.3,6937320.0,-5.95,0.0,720.0
515615.3,6937320.0,-6.03,0.0,730.0
515615.3,6937320.0,-6.11,0.0,730.0
515615.3,6937320.0,-6.11,0.0,735.0
515615.3,6937320.0,-6.18,0.0,735.0
515615.3,6937320.0,-6.18,0.0,740.0
515615.3,6937320.0,-6.26,0.0,740.0
515615.3,6937320.0,-6.26,0.0,745.0
515615.3,6937320.0,-6.34,0.0,745.0
515615.3,6937320.0,-6.34,0.0,750.0
515615.3,6937320.0,-6.41,0.0,750.0
515615.3,6937320.0,-6.41,0.0,755.0
515615.3,6937320.0,-6.49,0.0,755.0
515615.3,6937320.0,-6.49,0.0,760.0
515615.3,6937320.0,-6.56,0.0,760.0
515615.3,6937320.0,-6.56,0.0,765.0
515615.3,6937320.0,-6.63,0.0,765.0
515615.3,6937320.0,-6.63,0.0,770.0
515615.3,6937320.0,-6.71,0.0,770.0
515615.3,6937320.0,-6.71,0.0,775.0
515615.3,6937320.0,-6.78,0.0,775.0
515615.3,6937320.0,-6.78,0.0,780.0
515615.3,6937320.0,-6.85,0.0,780.0
515615.3,6937320.0,-6.85,0.0,785.0
515615.3,6937320.0,-6.92,0.0,785.0
515615.3,6937320.0,-6.92,0.0,790.0
515615.3,6937320.0,-6.99,0.0,790.0
515615.3,6937320.0,-6.99,0.0,795.0
515615.3,6937320.0,-7.06,0.0,795.0
515615.3,6937320.0,-7.06,0.0,800.0
515615.3,6937320.0,-7.13,0.0,800.0
515615.3,6937320.0,-7.13,0.0,805.0
515615.3,6937320.0,-7.21,0.0,805.0
515615.3,6937320.0,-7.21,0.0,810.0
515615.3,6937320.0,-7.28,0.0,810.0
515615.3,6937320.0,-7.28,0.0,815.0
515615.3,6937320.0,-7.35,0.0,815.0
515615.3,6937320.0,-7.35,0.0,820.0
515615.3,6937320.0,-7.42,0.0,820.0
515615.3,6937320.0,-7.42,0.0,825.0
515615.3,6937320.0,-7.49,0.0,825.0
515615.3,6937320.0,-7.49,0.0,830.0
515615.3,6937320.0,-7.56,0.0,830.0
515615.3,6937320.0,-7.56,0.0,835.0
515615.3,6937320.0,-7.63,0.0,835.0
515615.3,6937320.0,-7.63,0.0,840.0
515615.3,6937320.0,-7.71,0.0,840.0
515615.3,6937320.0,-7.71,0.0,845.0
515615.3,6937320.0,-7.78,0.0,845.0
515615.3,6937320.0,-7.78,0.0,850.0
515615.3,6937320.0,-7.86,0.0,850.0
515615.3,6937320.0,-7.86,0.0,855.0
515615.3,6937320.0,-7.93,0.0,855.0
515615.3,6937320.0,-7.93,0.0,860.0
515615.3,6937320.0,-8.01,0.0,860.0
515615.3,6937320.0,-8.01,0.0,865.0
515615.3,6937320.0,-8.14,0.0,865.0
515615.3,6937320.0,-8.14,0.0,870.0
515615.3,6937320.0,-8.27,0.0,870.0
515615.3,6937320.0,-8.27,0.0,875.0
515615.3,6937320.0,-8.41,0.0,875.0
515615.3,6937320.0,-8.41,0.0,880.0
515615.3,6937320.0,-8.5,0.0,880.0
515615.3,6937320.0,8.57,0.0,190.0
515615.3,6937320.0,8.41,0.0,190.0
515615.3,6937320.0,8.84,0.0,195.0
515615.3,6937320.0,8.57,0.0,195.0
515615.3,6937320.0,8.41,0.0,195.0
515615.3,6937320.0,8.07,0.0,195.0
515615.3,6937320.0,9.03,0.0,200.0
515615.3,6937320.0,8.84,0.0,200.0
515615.3,6937320.0,8.07,0.0,200.0
515615.3,6937320.0,7.9,0.0,200.0
515615.3,6937320.0,9.12,0.0,205.0
515615.3,6937320.0,9.03,0.0,205.0
515615.3,6937320.0,7.9,0.0,205.0
515615.3,6937320.0,7.77,0.0,205.0
515615.3,6937320.0,9.21,0.0,210.0
515615.3,6937320.0,9.12,0.0,210.0
515615.3,6937320.0,7.77,0.0,210.0
515615.3,6937320.0,7.65,0.0,210.0
515615.3,6937320.0,9.29,0.0,215.0
515615.3,6937320.0,9.21,0.0,215.0
515615.3,6937320.0,7.65,0.0,215.0
515615.3,6937320.0,7.52,0.0,215.0
515615.3,6937320.0,9.38,0.0,220.0
515615.3,6937320.0,9.29,0.0,220.0
515615.3,6937320.0,7.52,0.0,220.0
515615.3,6937320.0,7.43,0.0,220.0
515615.3,6937320.0,9.47,0.0,225.0
515615.3,6937320.0,9.38,0.0,225.0
515615.3,6937320.0,7.43,0.0,225.0
515615.3,6937320.0,7.34,0.0,225.0
515615.3,6937320.0,9.54,0.0,230.0
515615.3,6937320.0,9.47,0.0,230.0
515615.3,6937320.0,7.34,0.0,230.0
515615.3,6937320.0,7.25,0.0,230.0
515615.3,6937320.0,9.6,0.0,235.0
515615.3,6937320.0,9.54,0.0,235.0
515615.3,6937320.0,7.25,0.0,235.0
515615.3,6937320.0,7.16,0.0,235.0
515615.3,6937320.0,9.66,0.0,240.0
515615.3,6937320.0,9.6,0.0,240.0
515615.3,6937320.0,7.16,0.0,240.0
515615.3,6937320.0,7.07,0.0,240.0
515615.3,6937320.0,9.72,0.0,245.0
515615.3,6937320.0,9.66,0.0,245.0
515615.3,6937320.0,7.07,0.0,245.0
515615.3,6937320.0,6.98,0.0,245.0
515615.3,6937320.0,9.78,0.0,250.0
515615.3,6937320.0,9.72,0.0,250.0
515615.3,6937320.0,6.98,0.0,250.0
515615.3,6937320.0,6.9,0.0,250.0
515615.3,6937320.0,9.84,0.0,255.0
515615.3,6937320.0,9.78,0.0,255.0
515615.3,6937320.0,6.9,0.0,255.0
515615.3,6937320.0,6.82,0.0,255.0
515615.3,6937320.0,9.89,0.0,260.0
515615.3,6937320.0,9.84,0.0,260.0
515615.3,6937320.0,6.82,0.0,260.0
515615.3,6937320.0,6.74,0.0,260.0
515615.3,6937320.0,9.95,0.0,265.0
515615.3,6937320.0,9.89,0.0,265.0
515615.3,6937320.0,6.74,0.0,265.0
515615.3,6937320.0,6.65,0.0,265.0
515615.3,6937320.0,10.01,0.0,270.0
515615.3,6937320.0,9.95,0.0,270.0
515615.3,6937320.0,6.65,0.0,270.0
515615.3,6937320.0,6.57,0.0,270.0
515615.3,6937320.0,10.07,0.0,275.0
515615.3,6937320.0,10.01,0.0,275.0
515615.3,6937320.0,6.57,0.0,275.0
515615.3,6937320.0,6.49,0.0,275.0
515615.3,6937320.0,10.13,0.0,280.0
515615.3,6937320.0,10.07,0.0,280.0
515615.3,6937320.0,6.49,0.0,280.0
515615.3,6937320.0,6.4,0.0,280.0
515615.3,6937320.0,10.18,0.0,285.0
515615.3,6937320.0,10.13,0.0,285.0
515615.3,6937320.0,6.4,0.0,285.0
515615.3,6937320.0,6.32,0.0,285.0
515615.3,6937320.0,10.24,0.0,290.0
515615.3,6937320.0,10.18,0.0,290.0
515615.3,6937320.0,6.32,0.0,290.0
515615.3,6937320.0,6.24,0.0,290.0
515615.3,6937320.0,10.3,0.0,295.0
515615.3,6937320.0,10.24,0.0,295.0
515615.3,6937320.0,6.24,0.0,295.0
515615.3,6937320.0,6.15,0.0,295.0
515615.3,6937320.0,10.36,0.0,300.0
515615.3,6937320.0,10.3,0.0,300.0
515615.3,6937320.0,6.15,0.0,300.0
515615.3,6937320.0,6.07,0.0,300.0
515615.3,6937320.0,10.41,0.0,305.0
515615.3,6937320.0,10.36,0.0,305.0
515615.3,6937320.0,6.07,0.0,305.0
515615.3,6937320.0,5.98,0.0,305.0
515615.3,6937320.0,10.47,0.0,310.0
515615.3,6937320.0,10.41,0.0,310.0
515615.3,6937320.0,5.98,0.0,310.0
515615.3,6937320.0,5.89,0.0,310.0
515615.3,6937320.0,10.54,0.0,315.0
515615.3,6937320.0,10.47,0.0,315.0
515615.3,6937320.0,5.89,0.0,315.0
515615.3,6937320.0,5.79,0.0,315.0
515615.3,6937320.0,10.63,0.0,320.0
515615.3,6937320.0,10.54,0.0,320.0
515615.3,6937320.0,5.79,0.0,320.0
515615.3,6937320.0,5.7,0.0,320.0
515615.3,6937320.0,10.71,0.0,325.0
515615.3,6937320.0,10.63,0.0,325.0
515615.3,6937320.0,5.7,0.0,325.0
515615.3,6937320.0,5.61,0.0,325.0
515615.3,6937320.0,10.8,0.0,330.0
515615.3,6937320.0,10.71,0.0,330.0
515615.3,6937320.0,5.61,0.0,330.0
515615.3,6937320.0,5.52,0.0,330.0
515615.3,6937320.0,10.89,0.0,335.0
515615.3,6937320.0,10.8,0.0,335.0
515615.3,6937320.0,5.52,0.0,335.0
515615.3,6937320.0,5.42,0.0,335.0
515615.3,6937320.0,12.0,0.0,340.0
515615.3,6937320.0,11.98,0.0,340.0
515615.3,6937320.0,10.97,0.0,340.0
515615.3,6937320.0,10.89,0.0,340.0
515615.3,6937320.0,5.42,0.0,340.0
515615.3,6937320.0,5.31,0.0,340.0
515615.3,6937320.0,11.98,0.0,345.0
515615.3,6937320.0,11.57,0.0,345.0
515615.3,6937320.0,11.4,0.0,345.0
515615.3,6937320.0,10.97,0.0,345.0
515615.3,6937320.0,5.31,0.0,345.0
515615.3,6937320.0,5.21,0.0,345.0
515615.3,6937320.0,11.57,0.0,350.0
515615.3,6937320.0,11.4,0.0,350.0
515615.3,6937320.0,5.21,0.0,350.0
515615.3,6937320.0,5.11,0.0,350.0
515615.3,6937320.0,5.11,0.0,355.0
515615.3,6937320.0,5.0,0.0,355.0
515615.3,6937320.0,5.0,0.0,360.0
515615.3,6937320.0,4.89,0.0,360.0
515615.3,6937320.0,4.89,0.0,365.0
515615.3,6937320.0,4.78,0.0,365.0
515615.3,6937320.0,4.78,0.0,370.0
515615.3,6937320.0,4.67,0.0,370.0
515615.3,6937320.0,4.67,0.0,375.0
515615.3,6937320.0,4.56,0.0,375.0
515615.3,6937320.0,4.56,0.0,380.0
515615.3,6937320.0,4.44,0.0,380.0
515615.3,6937320.0,4.44,0.0,385.0
515615.3,6937320.0,4.32,0.0,385.0
515615.3,6937320.0,4.32,0.0,390.0
515615.3,6937320.0,4.2,0.0,390.0
515615.3,6937320.0,4.2,0.0,395.0
515615.3,6937320.0,4.09,0.0,395.0
515615.3,6937320.0,4.09,0.0,400.0
515615.3,6937320.0,3.97,0.0,400.0
515615.3,6937320.0,3.97,0.0,405.0
515615.3,6937320.0,3.85,0.0,405.0
515615.3,6937320.0,3.85,0.0,410.0
515615.3,6937320.0,3.73,0.0,410.0
515615.3,6937320.0,3.73,0.0,415.0
515615.3,6937320.0,3.61,0.0,415.0
515615.3,6937320.0,3.61,0.0,420.0
515615.3,6937320.0,3.49,0.0,420.0
515615.3,6937320.0,3.49,0.0,425.0
515615.3,6937320.0,3.36,0.0,425.0
515615.3,6937320.0,3.36,0.0,430.0
515615.3,6937320.0,3.24,0.0,430.0
515615.3,6937320.0,3.24,0.0,435.0
515615.3,6937320.0,3.12,0.0,435.0
515615.3,6937320.0,3.12,0.0,440.0
515615.3,6937320.0,3.0,0.0,440.0
515615.3,6937320.0,3.0,0.0,445.0
515615.3,6937320.0,2.88,0.0,445.0
515615.3,6937320.0,2.88,0.0,450.0
515615.3,6937320.0,2.76,0.0,450.0
515615.3,6937320.0,2.76,0.0,455.0
515615.3,6937320.0,2.64,0.0,455.0
515615.3,6937320.0,2.64,0.0,460.0
515615.3,6937320.0,2.52,0.0,460.0
515615.3,6937320.0,2.52,0.0,465.0
515615.3,6937320.0,2.4,0.0,465.0
515615.3,6937320.0,2.4,0.0,470.0
515615.3,6937320.0,2.28,0.0,470.0
515615.3,6937320.0,2.28,0.0,475.0
515615.3,6937320.0,2.16,0.0,475.0
515615.3,6937320.0,2.16,0.0,480.0
515615.3,6937320.0,2.04,0.0,480.0
515615.3,6937320.0,2.04,0.0,485.0
515615.3,6937320.0,1.91,0.0,485.0
515615.3,6937320.0,1.91,0.0,490.0
515615.3,6937320.0,1.78,0.0,490.0
515615.3,6937320.0,1.78,0.0,495.0
515615.3,6937320.0,1.65,0.0,495.0
515615.3,6937320.0,1.65,0.0,500.0
515615.3,6937320.0,1.52,0.0,500.0
515615.3,6937320.0,1.52,0.0,505.0
515615.3,6937320.0,1.39,0.0,505.0
515615.3,6937320.0,1.39,0.0,510.0
515615.3,6937320.0,1.25,0.0,510.0
515615.3,6937320.0,1.25,0.0,515.0
515615.3,6937320.0,1.11,0.0,515.0
515615.3,6937320.0,1.11,0.0,520.0
515615.3,6937320.0,0.97,0.0,520.0
515615.3,6937320.0,0.97,0.0,525.0
515615.3,6937320.0,0.82,0.0,525.0
515615.3,6937320.0,0.82,0.0,530.0
515615.3,6937320.0,0.66,0.0,530.0
515615.3,6937320.0,0.66,0.0,535.0
515615.3,6937320.0,0.51,0.0,535.0
515615.3,6937320.0,0.51,0.0,540.0
515615.3,6937320.0,0.32,0.0,540.0
515615.3,6937320.0,0.32,0.0,545.0
515615.3,6937320.0,0.13,0.0,545.0
515615.3,6937320.0,0.13,0.0,550.0
515615.3,6937320.0,-0.08,0.0,550.0
515615.3,6937320.0,-0.08,0.0,555.0
515615.3,6937320.0,-0.33,0.0,555.0
515615.3,6937320.0,-0.33,0.0,560.0
515615.3,6937320.0,-0.6,0.0,560.0
515615.3,6937320.0,-0.6,0.0,565.0
515615.3,6937320.0,-0.88,0.0,565.0
515615.3,6937320.0,-0.88,0.0,570.0
515615.3,6937320.0,-1.17,0.0,570.0
515615.3,6937320.0,-1.17,0.0,575.0
515615.3,6937320.0,-1.46,0.0,575.0
515615.3,6937320.0,-1.46,0.0,580.0
515615.3,6937320.0,-1.74,0.0,580.0
515615.3,6937320.0,-1.74,0.0,585.0
515615.3,6937320.0,-2.03,0.0,585.0
515615.3,6937320.0,-2.03,0.0,590.0
515615.3,6937320.0,-2.28,0.0,590.0
515615.3,6937320.0,-2.98,0.0,610.0
515615.3,6937320.0,-3.18,0.0,610.0
515615.3,6937320.0,-3.18,0.0,615.0
515615.3,6937320.0,-3.37,0.0,615.0
515615.3,6937320.0,-3.37,0.0,620.0
515615.3,6937320.0,-3.57,0.0,620.0
515615.3,6937320.0,-3.57,0.0,625.0
515615.3,6937320.0,-3.76,0.0,625.0
515615.3,6937320.0,-3.76,0.0,630.0
515615.3,6937320.0,-3.96,0.0,630.0
515615.3,6937320.0,-3.96,0.0,635.0
515615.3,6937320.0,-4.12,0.0,635.0
515615.3,6937320.0,-4.12,0.0,640.0
515615.3,6937320.0,-4.28,0.0,640.0
515615.3,6937320.0,-4.43,0.0,650.0
515615.3,6937320.0,-4.57,0.0,650.0
515615.3,6937320.0,-4.57,0.0,655.0
515615.3,6937320.0,-4.69,0.0,655.0
515615.3,6937320.0,-5.04,0.0,675.0
515615.3,6937320.0,-5.14,0.0,675.0
515615.3,6937320.0,-5.14,0.0,680.0
515615.3,6937320.0,-5.23,0.0,680.0
515615.3,6937320.0,-2.53,0.0,600.0
515615.3,6937320.0,-2.75,0.0,600.0
515615.3,6937320.0,-5.95,0.0,725.0
515615.3,6937320.0,-6.03,0.0,725.0
515615.3,6937320.0,-5.61,0.0,705.0
515615.3,6937320.0,-5.69,0.0,705.0
515615.3,6937320.0,-4.69,0.0,660.0
515615.3,6937320.0,-4.81,0.0,660.0
515615.3,6937320.0,-4.81,0.0,665.0
515615.3,6937320.0,-4.93,0.0,665.0
515615.3,6937320.0,-4.93,0.0,670.0
515615.3,6937320.0,-5.04,0.0,670.0
515615.3,6937320.0,-5.23,0.0,685.0
515615.3,6937320.0,-5.33,0.0,685.0
515615.3,6937320.0,-2.75,0.0,605.0
515615.3,6937320.0,-2.98,0.0,605.0
515615.3,6937320.0,-4.28,0.0,645.0
515615.3,6937320.0,-4.43,0.0,645.0
515615.3,6937320.0,-2.28,0.0,595.0
515615.3,6937320.0,-2.53,0.0,595.0
515615.359,6937319.936,3.5,0.09,425.0
515615.359,6937319.936,3.5,0.09,420.0
515615.359,6937319.936,3.5,0.09,425.0
515615.4134,6937319.877,11.5,0.17,350.0
515615.4134,6937319.877,11.5,0.17,345.0
515615.4134,6937319.877,11.5,0.17,350.0
515615.4227,6937319.867,4.0,0.18,405.0
515615.4227,6937319.867,4.0,0.18,400.0
515615.4227,6937319.867,4.0,0.18,405.0
515615.4451,6937319.843,8.0,0.21,200.0
515615.4451,6937319.843,8.0,0.21,200.0
515615.4451,6937319.843,8.0,0.21,195.0
515615.4451,6937319.843,8.0,0.21,200.0
515615.4503,6937319.838,7.5,0.22,220.0
515615.4503,6937319.838,7.5,0.22,215.0
515615.4503,6937319.838,7.5,0.22,220.0
515615.4503,6937319.838,-3.0,0.22,610.0
515615.4503,6937319.838,-3.0,0.22,605.0
515615.4503,6937319.838,-3.0,0.22,610.0
515615.4522,6937319.835,-7.0,0.22,795.0
515615.4522,6937319.835,-7.0,0.22,790.0
515615.4522,6937319.835,-7.0,0.22,795.0
515615.5001,6937319.784,11.0,0.29,345.0
515615.5001,6937319.784,11.0,0.29,340.0
515615.5001,6937319.784,11.0,0.29,345.0
515615.5177,6937319.765,-6.5,0.32,760.0
515615.5177,6937319.765,-6.5,0.32,760.0
515615.5177,6937319.765,-6.5,0.32,755.0
515615.5265,6937319.755,4.5,0.33,385.0
515615.5265,6937319.755,4.5,0.33,380.0
515615.5265,6937319.755,4.5,0.33,385.0
515615.5337,6937319.747,6.0,0.34,310.0
515615.5337,6937319.747,6.0,0.34,305.0
515615.5337,6937319.747,6.0,0.34,310.0
515615.5849,6937319.692,-7.5,0.42,830.0
515615.5849,6937319.692,-7.5,0.42,830.0
515615.5849,6937319.692,-7.5,0.42,825.0
515615.6558,6937319.615,8.66,0.52,195.0
515615.6558,6937319.615,8.27,0.52,195.0
515615.6558,6937319.615,8.92,0.52,200.0
515615.6558,6937319.615,7.96,0.52,200.0
515615.6558,6937319.615,9.06,0.52,205.0
515615.6558,6937319.615,7.84,0.52,205.0
515615.6558,6937319.615,9.15,0.52,210.0
515615.6558,6937319.615,7.72,0.52,210.0
515615.6558,6937319.615,9.24,0.52,215.0
515615.6558,6937319.615,7.59,0.52,215.0
515615.6558,6937319.615,9.32,0.52,220.0
515615.6558,6937319.615,7.48,0.52,220.0
515615.6558,6937319.615,9.41,0.52,225.0
515615.6558,6937319.615,7.39,0.52,225.0
515615.6558,6937319.615,9.5,0.52,230.0
515615.6558,6937319.615,7.3,0.52,230.0
515615.6558,6937319.615,9.56,0.52,235.0
515615.6558,6937319.615,7.22,0.52,235.0
515615.6558,6937319.615,9.62,0.52,240.0
515615.6558,6937319.615,7.13,0.52,240.0
515615.6558,6937319.615,9.68,0.52,245.0
515615.6558,6937319.615,7.04,0.52,245.0
515615.6558,6937319.615,9.74,0.52,250.0
515615.6558,6937319.615,6.96,0.52,250.0
515615.6558,6937319.615,6.96,0.52,250.0
515615.6558,6937319.615,9.8,0.52,255.0
515615.6558,6937319.615,6.88,0.52,255.0
515615.6558,6937319.615,9.86,0.52,260.0
515615.6558,6937319.615,6.81,0.52,260.0
515615.6558,6937319.615,9.92,0.52,265.0
