Easting,Northing,Elevation,Chainage,Velocity
515520.80,6937483.75,8.10,0.00,150.00
515520.80,6937483.75,8.05,0.00,150.00
515520.80,6937483.75,9.53,0.00,150.00
515520.80,6937483.75,9.45,0.00,150.00
515520.80,6937483.75,8.05,0.00,155.00
515520.80,6937483.75,8.00,0.00,155.00
515520.80,6937483.75,9.60,0.00,155.00
515520.80,6937483.75,9.53,0.00,155.00
515520.80,6937483.75,8.05,0.00,155.00
515520.80,6937483.75,9.53,0.00,155.00
515520.80,6937483.75,8.00,0.00,160.00
515520.80,6937483.75,7.95,0.00,160.00
515520.80,6937483.75,9.66,0.00,160.00
515520.80,6937483.75,9.60,0.00,160.00
515520.80,6937483.75,7.95,0.00,165.00
515520.80,6937483.75,7.90,0.00,165.00
515520.80,6937483.75,9.72,0.00,165.00
515520.80,6937483.75,9.66,0.00,165.00
515520.80,6937483.75,7.90,0.00,170.00
515520.80,6937483.75,7.85,0.00,170.00
515520.80,6937483.75,9.77,0.00,170.00
515520.80,6937483.75,9.72,0.00,170.00
515520.80,6937483.75,7.85,0.00,175.00
515520.80,6937483.75,7.80,0.00,175.00
515520.80,6937483.75,9.83,0.00,175.00
515520.80,6937483.75,9.77,0.00,175.00
515520.80,6937483.75,7.80,0.00,180.00
515520.80,6937483.75,7.75,0.00,180.00
515520.80,6937483.75,9.89,0.00,180.00
515520.80,6937483.75,9.83,0.00,180.00
515520.80,6937483.75,7.75,0.00,185.00
515520.80,6937483.75,7.72,0.00,185.00
515520.80,6937483.75,9.95,0.00,185.00
515520.80,6937483.75,9.89,0.00,185.00
515520.80,6937483.75,7.72,0.00,190.00
515520.80,6937483.75,7.68,0.00,190.00
515520.80,6937483.75,10.01,0.00,190.00
515520.80,6937483.75,9.95,0.00,190.00
515520.80,6937483.75,7.68,0.00,195.00
515520.80,6937483.75,7.65,0.00,195.00
515520.80,6937483.75,10.07,0.00,195.00
515520.80,6937483.75,10.01,0.00,195.00
515520.80,6937483.75,7.65,0.00,200.00
515520.80,6937483.75,7.61,0.00,200.00
515520.80,6937483.75,10.12,0.00,200.00
515520.80,6937483.75,10.07,0.00,200.00
515520.80,6937483.75,7.61,0.00,205.00
515520.80,6937483.75,7.58,0.00,205.00
515520.80,6937483.75,10.18,0.00,205.00
515520.80,6937483.75,10.12,0.00,205.00
515520.80,6937483.75,7.61,0.00,205.00
515520.80,6937483.75,10.12,0.00,205.00
515520.80,6937483.75,7.58,0.00,210.00
515520.80,6937483.75,7.54,0.00,210.00
515520.80,6937483.75,10.24,0.00,210.00
515520.80,6937483.75,10.18,0.00,210.00
515520.80,6937483.75,7.54,0.00,215.00
515520.80,6937483.75,7.50,0.00,215.00
515520.80,6937483.75,10.30,0.00,215.00
515520.80,6937483.75,10.24,0.00,215.00
515520.80,6937483.75,7.50,0.00,220.00
515520.80,6937483.75,7.47,0.00,220.00
515520.80,6937483.75,10.36,0.00,220.00
515520.80,6937483.75,10.30,0.00,220.00
515520.80,6937483.75,7.47,0.00,225.00
515520.80,6937483.75,7.43,0.00,225.00
515520.80,6937483.75,10.43,0.00,225.00
515520.80,6937483.75,10.36,0.00,225.00
515520.80,6937483.75,7.43,0.00,230.00
515520.80,6937483.75,7.40,0.00,230.00
515520.80,6937483.75,10.51,0.00,230.00
515520.80,6937483.75,10.43,0.00,230.00
515520.80,6937483.75,7.40,0.00,235.00
515520.80,6937483.75,7.37,0.00,235.00
515520.80,6937483.75,10.58,0.00,235.00
515520.80,6937483.75,10.51,0.00,235.00
515520.80,6937483.75,7.37,0.00,240.00
515520.80,6937483.75,7.34,0.00,240.00
515520.80,6937483.75,10.65,0.00,240.00
515520.80,6937483.75,10.58,0.00,240.00
515520.80,6937483.75,7.34,0.00,245.00
515520.80,6937483.75,7.31,0.00,245.00
515520.80,6937483.75,10.68,0.00,245.00
515520.80,6937483.75,10.65,0.00,245.00
515520.80,6937483.75,7.31,0.00,250.00
515520.80,6937483.75,7.28,0.00,250.00
515520.80,6937483.75,7.28,0.00,255.00
515520.80,6937483.75,7.25,0.00,255.00
515520.80,6937483.75,7.28,0.00,255.00
515520.80,6937483.75,7.25,0.00,260.00
515520.80,6937483.75,7.22,0.00,260.00
515520.80,6937483.75,7.22,0.00,265.00
515520.80,6937483.75,7.19,0.00,265.00
515520.80,6937483.75,7.19,0.00,270.00
515520.80,6937483.75,7.16,0.00,270.00
515520.80,6937483.75,1.54,0.00,270.00
515520.80,6937483.75,0.90,0.00,270.00
515520.80,6937483.75,7.16,0.00,275.00
515520.80,6937483.75,7.13,0.00,275.00
515520.80,6937483.75,0.90,0.00,275.00
515520.80,6937483.75,0.67,0.00,275.00
515520.80,6937483.75,1.73,0.00,275.00
515520.80,6937483.75,1.54,0.00,275.00
515520.80,6937483.75,7.13,0.00,280.00
515520.80,6937483.75,7.10,0.00,280.00
515520.80,6937483.75,0.67,0.00,280.00
515520.80,6937483.75,0.47,0.00,280.00
515520.80,6937483.75,1.89,0.00,280.00
515520.80,6937483.75,1.73,0.00,280.00
515520.80,6937483.75,7.10,0.00,285.00
515520.80,6937483.75,7.07,0.00,285.00
515520.80,6937483.75,0.47,0.00,285.00
