Easting,Northing,Elevation,Chainage,Velocity
513652.20,6939216.80,8.59,0.00,235.00
513652.20,6939216.80,8.04,0.00,235.00
513652.20,6939216.80,8.67,0.00,240.00
513652.20,6939216.80,8.59,0.00,240.00
513652.20,6939216.80,8.04,0.00,240.00
513652.20,6939216.80,7.93,0.00,240.00
513652.20,6939216.80,8.76,0.00,245.00
513652.20,6939216.80,8.67,0.00,245.00
513652.20,6939216.80,7.93,0.00,245.00
513652.20,6939216.80,7.81,0.00,245.00
513652.20,6939216.80,8.84,0.00,250.00
513652.20,6939216.80,8.76,0.00,250.00
513652.20,6939216.80,7.81,0.00,250.00
513652.20,6939216.80,7.72,0.00,250.00
513652.20,6939216.80,8.89,0.00,255.00
513652.20,6939216.80,8.84,0.00,255.00
513652.20,6939216.80,7.72,0.00,255.00
513652.20,6939216.80,7.64,0.00,255.00
513652.20,6939216.80,8.94,0.00,260.00
513652.20,6939216.80,8.89,0.00,260.00
513652.20,6939216.80,7.64,0.00,260.00
513652.20,6939216.80,7.56,0.00,260.00
513652.20,6939216.80,8.99,0.00,265.00
513652.20,6939216.80,8.94,0.00,265.00
513652.20,6939216.80,7.56,0.00,265.00
513652.20,6939216.80,7.48,0.00,265.00
513652.20,6939216.80,9.04,0.00,270.00
513652.20,6939216.80,8.99,0.00,270.00
513652.20,6939216.80,7.48,0.00,270.00
513652.20,6939216.80,7.41,0.00,270.00
513652.20,6939216.80,9.08,0.00,275.00
513652.20,6939216.80,9.04,0.00,275.00
513652.20,6939216.80,7.41,0.00,275.00
513652.20,6939216.80,7.33,0.00,275.00
513652.20,6939216.80,9.13,0.00,280.00
513652.20,6939216.80,9.08,0.00,280.00
513652.20,6939216.80,7.33,0.00,280.00
513652.20,6939216.80,7.26,0.00,280.00
513652.20,6939216.80,9.16,0.00,285.00
513652.20,6939216.80,9.13,0.00,285.00
513652.20,6939216.80,7.26,0.00,285.00
513652.20,6939216.80,7.19,0.00,285.00
513652.20,6939216.80,9.19,0.00,290.00
513652.20,6939216.80,9.16,0.00,290.00
513652.20,6939216.80,7.19,0.00,290.00
513652.20,6939216.80,7.12,0.00,290.00
513652.20,6939216.80,9.23,0.00,295.00
513652.20,6939216.80,9.19,0.00,295.00
513652.20,6939216.80,7.12,0.00,295.00
513652.20,6939216.80,7.05,0.00,295.00
513652.20,6939216.80,9.26,0.00,300.00
513652.20,6939216.80,9.23,0.00,300.00
513652.20,6939216.80,7.05,0.00,300.00
513652.20,6939216.80,6.98,0.00,300.00
513652.20,6939216.80,9.30,0.00,305.00
513652.20,6939216.80,9.26,0.00,305.00
513652.20,6939216.80,6.98,0.00,305.00
