X,Y,Z,Chainage,Vp
509477.3576,6944413.232,37.452688,,365
509476.9482,6944412.944,37.499696,,365
509476.9463,6944412.943,37.5,,365
509476.9482,6944412.944,37.5,,365
509478.5855,6944414.093,37.5,,365
509478.8766,6944414.297,37.5,,365
509478.5855,6944414.093,37.465257,,365
509478.1762,6944413.806,37.435553,,365
509477.7669,6944413.519,37.432012,,365
509504.3729,6944432.183,35.99253,,365
509504.2503,6944432.097,36,,365
509504.3729,6944432.183,36.00285,,365
509504.7822,6944432.471,36.00499,,365
509505.1915,6944432.758,36.001914,,365
509505.3376,6944432.86,36,,365
509505.1915,6944432.758,35.994963,,365
509504.7822,6944432.471,35.986731,,365
509479.4156,6944414.675,37.5,,370
509479.4042,6944414.667,37.498558,,370
509478.9949,6944414.38,37.445286,,370
509478.5855,6944414.093,37.388988,,370
509478.1762,6944413.806,37.357632,,370
509477.7669,6944413.519,37.354628,,370
509477.3576,6944413.232,37.377944,,370
509476.9482,6944412.944,37.437842,,370
509476.5414,6944412.659,37.5,,370
509491.1849,6944422.932,36.5,,370
509491.2746,6944422.995,36.514083,,370
509491.2901,6944423.006,36.5,,370
509491.2746,6944422.995,36.470071,,370
509504.3729,6944432.183,35.860552,,370
509503.9636,6944431.896,35.886638,,370
509503.5542,6944431.609,35.932575,,370
509503.199,6944431.36,36,,370
509503.5542,6944431.609,36.029626,,370
509503.9636,6944431.896,36.045502,,370
509504.3729,6944432.183,36.053211,,370
509504.7822,6944432.471,36.054325,,370
509505.1915,6944432.758,36.050917,,370
509505.6009,6944433.045,36.045503,,370
509506.0102,6944433.332,36.039609,,370
509506.4195,6944433.619,36.031439,,370
509506.8288,6944433.906,36.020082,,370
509507.2381,6944434.193,36.007508,,370
509507.4637,6944434.352,36,,370
509507.2381,6944434.193,35.984146,,370
509506.8288,6944433.906,35.954658,,370
509506.4195,6944433.619,35.924606,,370
509506.0102,6944433.332,35.900944,,370
509505.6009,6944433.045,35.883012,,370
509505.1915,6944432.758,35.866043,,370
509504.7822,6944432.471,35.855535,,370
509493.3212,6944424.43,35.990244,,370
509493.2155,6944424.356,36,,370
509493.3212,6944424.43,36.007246,,370
509493.7305,6944424.718,36.0215,,370
509493.7536,6944424.734,36,,370
