X,Y,Z,Vp
509539.7203,6944483.562,32.877206,250
509539.3159,6944483.268,32.888719,250
509538.9663,6944483.014,33,250
509539.0414,6944483.068,33.339312,250
509539.3159,6944483.268,33,250
509540.1247,6944483.856,33,250
509540.3767,6944484.039,33,250
509540.1247,6944483.856,32.884605,250
509500.8954,6944455.337,36.441702,255
509500.491,6944455.043,36.480947,255
509500.0866,6944454.749,36.493292,255
509500.0484,6944454.722,36.5,255
509500.0866,6944454.749,36.554115,255
509500.2939,6944454.9,37,255
509500.491,6944455.043,37,255
509500.8954,6944455.337,37,255
509501.2999,6944455.631,36.5,255
509502.2806,6944456.344,36.5,255
509502.1087,6944456.219,36.442612,255
509501.7043,6944455.925,36.436928,255
509501.2999,6944455.631,36.417649,255
509540.6362,6944484.228,33,255
509540.5292,6944484.15,32.943788,255
509540.1247,6944483.856,32.765324,255
509539.7203,6944483.562,32.747367,255
509539.3159,6944483.268,32.769463,255
509538.9115,6944482.974,32.891486,255
509538.5844,6944482.736,33,255
509538.785,6944482.882,33.5,255
509538.9115,6944482.974,33.5,255
509502.1087,6944456.219,36.5,260
509502.9176,6944456.807,36.5,260
509503.0087,6944456.874,36.5,260
509502.9176,6944456.807,36.396033,260
509502.5131,6944456.513,36.24351,260
509502.1087,6944456.219,36.143399,260
509501.7043,6944455.925,36.185548,260
509501.2999,6944455.631,36.230818,260
509500.8954,6944455.337,36.279546,260
509500.491,6944455.043,36.329425,260
509500.0866,6944454.749,36.357618,260
509499.6822,6944454.455,36.434202,260
509499.514,6944454.333,36.5,260
509499.4877,6944454.314,37,260
509499.6822,6944454.455,37,260
509540.8945,6944484.416,33,260
509540.5292,6944484.15,32.808222,260
509540.1247,6944483.856,32.646043,260
509539.7203,6944483.562,32.617527,260
509539.3159,6944483.268,32.650206,260
509538.9115,6944482.974,32.764376,260
509538.507,6944482.68,32.911048,260
509538.4052,6944482.606,33,260
509538.507,6944482.68,33.389554,260
509538.5583,6944482.717,33.5,260
509503.1998,6944457.013,36.5,265
509502.9176,6944456.807,36.177905,265
509502.6211,6944456.592,36,265
509502.5131,6944456.513,35.975698,265
509502.1087,6944456.219,35.954673,265
509501.7043,6944455.925,35.977431,265
509501.4913,6944455.771,36,265
509501.2999,6944455.631,36.043986,265
509500.8954,6944455.337,36.117389,265
509500.491,6944455.043,36.177904,265
509500.0866,6944454.749,36.221944,265
509499.6822,6944454.455,36.308955,265
509499.2777,6944454.161,36.468225,265
509499.2192,6944454.119,36.5,265
509499.1854,6944454.094,37,265
509540.5292,6944484.15,33,265
509540.9336,6944484.444,33,265
509541.0837,6944484.553,33,265
509540.9336,6944484.444,32.883242,265
509540.5292,6944484.15,32.672655,265
509540.1247,6944483.856,32.526763,265
509539.8405,6944483.649,32.5,265
509539.7203,6944483.562,32.494609,265
509539.6121,6944483.483,32.5,265
509539.3159,6944483.268,32.53095,265
509538.9115,6944482.974,32.637266,265
509538.507,6944482.68,32.799578,265
509538.2776,6944482.513,33,265
509538.4054,6944482.606,33.5,265
509538.507,6944482.68,33.5,265
509503.3499,6944457.122,36.5,270
509503.322,6944457.101,36.425642,270
509502.9507,6944456.831,36,270
509502.9176,6944456.807,35.986247,270
