Easting,Northing,Elevation,Chainage,Velocity
510691.76,6941781.35,32.11,5.79,310.00
510691.80,6941781.29,32.11,5.86,310.00
510691.83,6941781.23,32.12,5.92,310.00
510691.87,6941781.18,32.12,5.99,310.00
510691.90,6941781.12,32.13,6.06,310.00
510691.91,6941781.12,32.13,6.06,310.00
510691.65,6941781.51,32.13,5.60,310.00
510691.69,6941781.46,32.12,5.66,310.00
510691.72,6941781.40,32.11,5.73,310.00
510698.58,6941770.87,32.23,18.29,320.00
510698.61,6941770.82,32.24,18.35,320.00
510698.65,6941770.76,32.24,18.42,320.00
510698.68,6941770.71,32.24,18.48,320.00
510698.72,6941770.65,32.25,18.55,320.00
510698.76,6941770.60,32.26,18.62,320.00
510698.79,6941770.54,32.26,18.68,320.00
510698.80,6941770.54,32.26,18.69,320.00
510698.32,6941771.27,32.26,17.82,320.00
510698.32,6941771.26,32.26,17.82,320.00
510698.36,6941771.21,32.25,17.89,320.00
510698.39,6941771.15,32.25,17.96,320.00
510698.43,6941771.10,32.24,18.02,320.00
510698.47,6941771.04,32.24,18.09,320.00
510698.50,6941770.98,32.23,18.15,320.00
510698.54,6941770.93,32.23,18.22,320.00
510691.90,6941781.12,32.13,6.06,320.00
510691.87,6941781.18,32.12,5.99,320.00
510691.83,6941781.23,32.12,5.92,320.00
510691.80,6941781.29,32.11,5.86,320.00
510691.76,6941781.35,32.11,5.79,320.00
510691.72,6941781.40,32.11,5.73,320.00
510691.69,6941781.46,32.12,5.66,320.00
510691.65,6941781.51,32.13,5.60,320.00
510690.69,6941782.99,32.13,3.83,320.00
510690.71,6941782.95,32.12,3.88,320.00
510690.75,6941782.90,32.09,3.94,320.00
510690.79,6941782.84,32.08,4.01,320.00
510690.81,6941782.81,32.07,4.05,320.00
510690.82,6941782.79,32.06,4.07,320.00
510690.86,6941782.73,32.06,4.14,320.00
510690.89,6941782.67,32.05,4.21,320.00
510690.93,6941782.62,32.05,4.27,320.00
510690.97,6941782.56,32.06,4.34,320.00
510691.00,6941782.51,32.06,4.40,320.00
510691.01,6941782.49,32.07,4.43,320.00
510691.04,6941782.45,32.07,4.47,320.00
510691.07,6941782.40,32.08,4.54,320.00
510691.11,6941782.34,32.09,4.60,320.00
510691.15,6941782.29,32.11,4.67,320.00
510691.18,6941782.23,32.11,4.73,320.00
510691.22,6941782.18,32.12,4.80,320.00
510691.25,6941782.12,32.13,4.87,320.00
510691.29,6941782.07,32.13,4.93,320.00
510691.33,6941782.01,32.13,5.00,320.00
510691.36,6941781.95,32.13,5.07,320.00
510691.40,6941781.90,32.12,5.13,320.00
510691.44,6941781.84,32.11,5.20,320.00
510691.47,6941781.79,32.10,5.26,320.00
510691.51,6941781.73,32.08,5.33,320.00
510691.53,6941781.69,32.07,5.38,320.00
510691.54,6941781.68,32.06,5.40,320.00
510691.58,6941781.62,32.05,5.46,320.00
510691.62,6941781.57,32.04,5.53,320.00
510691.65,6941781.51,32.03,5.59,320.00
510691.69,6941781.46,32.02,5.66,320.00
510691.72,6941781.40,32.02,5.73,320.00
510691.76,6941781.35,32.02,5.79,320.00
510691.80,6941781.29,32.02,5.86,320.00
510691.83,6941781.23,32.03,5.92,320.00
510691.87,6941781.18,32.04,5.99,320.00
510691.90,6941781.12,32.05,6.06,320.00
510691.94,6941781.07,32.06,6.12,320.00
510691.97,6941781.03,32.07,6.17,320.00
510691.98,6941781.01,32.07,6.19,320.00
510692.01,6941780.96,32.09,6.26,320.00
510692.05,6941780.90,32.11,6.32,320.00
510692.08,6941780.85,32.13,6.39,320.00
510692.09,6941780.83,32.13,6.41,320.00
510691.91,6941781.12,32.13,6.06,320.00
510698.79,6941770.54,32.26,18.68,330.00
510698.76,6941770.60,32.26,18.62,330.00
510698.72,6941770.65,32.25,18.55,330.00
510698.68,6941770.71,32.24,18.48,330.00
510698.65,6941770.76,32.24,18.42,330.00
510698.61,6941770.82,32.24,18.35,330.00
510698.58,6941770.87,32.23,18.29,330.00
510698.54,6941770.93,32.23,18.22,330.00
510698.50,6941770.98,32.23,18.15,330.00
510698.47,6941771.04,32.24,18.09,330.00
510698.43,6941771.10,32.24,18.02,330.00
510698.39,6941771.15,32.25,17.96,330.00
510698.36,6941771.21,32.25,17.89,330.00
510698.32,6941771.26,32.26,17.82,330.00
510698.32,6941771.27,32.26,17.82,330.00
510698.14,6941771.54,32.26,17.49,330.00
510698.14,6941771.54,32.26,17.49,330.00
510698.18,6941771.48,32.24,17.56,330.00
510698.21,6941771.43,32.21,17.63,330.00
510698.23,6941771.40,32.20,17.66,330.00
510698.25,6941771.37,32.19,17.69,330.00
510698.29,6941771.32,32.16,17.76,330.00
510698.32,6941771.26,32.15,17.82,330.00
510698.36,6941771.21,32.14,17.89,330.00
510698.38,6941771.18,32.13,17.93,330.00
510698.39,6941771.15,32.13,17.96,330.00
510698.43,6941771.10,32.13,18.02,330.00
510698.47,6941771.04,32.12,18.09,330.00
510698.50,6941770.98,32.12,18.15,330.00
510698.54,6941770.93,32.12,18.22,330.00
510698.58,6941770.87,32.12,18.29,330.00
510698.61,6941770.82,32.12,18.35,330.00
510698.65,6941770.76,32.12,18.42,330.00
510698.68,6941770.71,32.13,18.48,330.00
510698.72,6941770.65,32.13,18.55,330.00
510698.75,6941770.61,32.13,18.61,330.00
510698.76,6941770.60,32.13,18.62,330.00
510698.79,6941770.54,32.14,18.68,330.00
510698.83,6941770.49,32.15,18.75,330.00
510698.86,6941770.43,32.16,18.82,330.00
510698.90,6941770.38,32.17,18.88,330.00
510698.94,6941770.32,32.18,18.95,330.00
510698.97,6941770.27,32.20,19.01,330.00
510698.97,6941770.26,32.20,19.01,330.00
510699.01,6941770.21,32.22,19.08,330.00
510699.04,6941770.15,32.25,19.15,330.00
