Easting,Northing,Elevation,Chainage,Velocity
511760.59,6940747.74,10.80614424,100.89,300
511760.76,6940747.71,10.80925837,101.07,300
511760.93,6940747.68,10.8139551,101.24,300
511761.1,6940747.65,10.81971589,101.41,300
511761.27,6940747.62,10.82625438,101.59,300
511761.44,6940747.58,10.83346785,101.76,300
511761.61,6940747.55,10.8412423,101.93,300
511761.79,6940747.52,10.84951843,102.11,300
511761.96,6940747.49,10.85807912,102.28,300
511762.13,6940747.46,10.86677378,102.46,300
511762.3,6940747.43,10.87553638,102.63,300
511762.47,6940747.39,10.88403652,102.8,300
511762.64,6940747.36,10.89213413,102.98,300
511762.81,6940747.33,10.89959762,103.15,300
511762.98,6940747.3,10.90616818,103.33,300
511763.15,6940747.27,10.91172506,103.5,300
511763.32,6940747.23,10.91613193,103.67,300
511763.5,6940747.2,10.91938974,103.85,300
511763.67,6940747.17,10.92166208,104.02,300
511763.84,6940747.14,10.92331411,104.2,300
511764.01,6940747.11,10.92495885,104.37,300
511764.18,6940747.08,10.92676876,104.54,300
511764.35,6940747.04,10.92883197,104.72,300
511764.52,6940747.01,10.93110682,104.89,300
511764.69,6940746.98,10.93344932,105.07,300
511764.86,6940746.95,10.93559621,105.24,300
511765.03,6940746.92,10.93759,105.41,300
511765.21,6940746.88,10.93950666,105.59,300
511765.38,6940746.85,10.94146036,105.76,300
511765.55,6940746.82,10.94374106,105.94,300
511765.72,6940746.79,10.94661101,106.11,300
511765.89,6940746.76,10.95030097,106.28,300
511766.06,6940746.73,10.95552573,106.46,300
511766.23,6940746.69,10.96259666,106.63,300
511766.36,6940746.67,10.9694899,106.77,300
511766.4,6940746.66,10.97217877,106.8,300
511766.57,6940746.63,10.98625778,106.98,300
511766.74,6940746.6,11.00229386,107.15,300
511766.92,6940746.57,11.02013446,107.33,300
511767.09,6940746.53,11.03979037,107.5,300
511767.26,6940746.5,11.06115995,107.67,300
511767.43,6940746.47,11.08466048,107.85,300
511767.6,6940746.44,11.11042118,108.02,300
511767.77,6940746.41,11.13838049,108.2,300
511767.8,6940746.4,11.1443266,108.23,300
511767.94,6940746.38,11.18376739,108.37,300
511768.11,6940746.34,11.23615602,108.54,300
511768.28,6940746.31,11.29082429,108.72,300
511768.37,6940746.3,11.3191633,108.81,300
511755.87,6940748.62,11.3191633,96.09,300
511755.97,6940748.6,11.29458993,96.2,300
511756.14,6940748.57,11.25303515,96.37,300
511756.31,6940748.54,11.2122055,96.54,300
511756.49,6940748.51,11.17181921,96.72,300
511756.6,6940748.49,11.1443266,96.84,300
511756.66,6940748.48,11.13637822,96.89,300
511756.83,6940748.44,11.11105517,97.07,300
511757,6940748.41,11.08596376,97.24,300
511757.17,6940748.38,11.06108509,97.41,300
511757.34,6940748.35,11.03644596,97.59,300
511757.51,6940748.32,11.01209051,97.76,300
511757.68,6940748.28,10.9880049,97.93,300
511757.82,6940748.26,10.9694899,98.07,300
511757.85,6940748.25,10.96507043,98.11,300
511758.02,6940748.22,10.9454733,98.28,300
511758.2,6940748.19,10.92710499,98.46,300
511758.37,6940748.16,10.91025129,98.63,300
511758.54,6940748.13,10.89479963,98.8,300
511758.71,6940748.09,10.88042159,98.98,300
511758.88,6940748.06,10.86813188,99.15,300
511759.05,6940748.03,10.8567604,99.33,300
511759.22,6940748,10.84627213,99.5,300
511759.39,6940747.97,10.83670762,99.67,300
511759.56,6940747.93,10.82799847,99.85,300
511759.73,6940747.9,10.82023886,100.02,300
511759.9,6940747.87,10.81375603,100.2,300
511760.08,6940747.84,10.80880319,100.37,300
511760.25,6940747.81,10.80585812,100.54,300
511760.42,6940747.78,10.80495441,100.72,300
511774.44,6940745.17,11.19039928,114.98,300
511774.61,6940745.13,11.19912948,115.15,300
511774.78,6940745.1,11.21771561,115.33,300
511774.95,6940745.07,11.25008241,115.5,300
511775.12,6940745.04,11.30654406,115.67,300
511775.15,6940745.03,11.3191633,115.7,300
511773.07,6940745.42,11.3191633,113.58,300
511773.07,6940745.42,11.31839971,113.59,300
511773.24,6940745.39,11.28958396,113.76,300
511773.41,6940745.36,11.26311925,113.94,300
511773.58,6940745.33,11.24044509,114.11,300
511773.75,6940745.29,11.22179021,114.28,300
511773.93,6940745.26,11.20674289,114.46,300
511774.1,6940745.23,11.19566401,114.63,300
511774.27,6940745.2,11.18975558,114.8,300
511736.14,6940752.29,10.69902722,76.02,300
511736.31,6940752.26,10.70175886,76.19,300
511736.48,6940752.23,10.70621054,76.37,300
511736.65,6940752.2,10.71243163,76.54,300
511736.82,6940752.17,10.72051389,76.72,300
511736.99,6940752.13,10.73051964,76.89,300
511737.16,6940752.1,10.74232222,77.06,300
511737.33,6940752.07,10.75586338,77.24,300
511737.51,6940752.04,10.77103824,77.41,300
511737.68,6940752.01,10.78770536,77.59,300
511737.74,6940751.99,10.79465321,77.65,300
511737.85,6940751.98,10.80860225,77.76,300
511738.02,6940751.94,10.83257676,77.93,300
511738.19,6940751.91,10.85743897,78.11,300
511738.36,6940751.88,10.88288239,78.28,300
511738.53,6940751.85,10.90873946,78.46,300
511738.7,6940751.82,10.93602635,78.63,300
511738.87,6940751.78,10.9636088,78.8,300
511738.91,6940751.78,10.9694899,78.84,300
511739.04,6940751.75,11.00654565,78.98,300
511739.22,6940751.72,11.05347801,79.15,300
511739.39,6940751.69,11.10016439,79.33,300
